CARI_KOD,CARI_AD,ULKE_KODU,ULKEADI,GRUP_KODU,SEKTOR,RAPOR_KODU1,BOLGE,RAPOR_KODU2,SEKTOR2,RAPOR_KODU3,CARI_TEMSILCI,DEPARTMAN,CARI_TIPI,MUSTERI_YERI
120.01.0130,Halkalıtaş Bisküvi San. Tic. Ltd. Şti.,TR,TÜRKİYE,MG1,Zeytin-Zeytinyağı,R1-2,Güneydoğu,R2-6,Zincir Market,R3-4,Nurhan T.,YURTICI,MUSTERI,Ordu
120.01.0131,Dalyanlı Çay A.Ş.,TR,TÜRKİYE,MG1,Süt Ürünleri,R1-1,Ege,R2-6,Toptancı,R3-1,Cem A.,YURTICI,MUSTERI,Kocaeli
120.01.0132,Nordwind S.p.A.,SE,İSVEÇ,MG2,Boya-Kimya,R1-7,Avrupa,R2-2,İhracatçı,R3-1,Elif S.,YURTDISI,MUSTERI,İsveç
120.01.0133,Grünfeld Oy,SE,İSVEÇ,MG2,Endüstriyel,R1-2,Avrupa,R2-3,Marka Sahibi,R3-1,Deniz Y.,YURTDISI,MUSTERI,İsveç
120.01.0134,Fidanlık Kahve A.Ş.,TR,TÜRKİYE,MG1,Bal-Reçel,R1-7,Marmara,R2-1,Toptancı,R3-3,Bahar Ö.,YURTICI,MUSTERI,Balıkesir
120.01.0135,Dalyanlı Çay Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Endüstriyel,R1-8,Marmara,R2-1,Fason Üretici,R3-3,Selim K.,YURTICI,MUSTERI,Ordu
120.01.0136,Berkant Tarım Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Süt Ürünleri,R1-3,Akdeniz,R2-3,Zincir Market,R3-2,Nurhan T.,YURTICI,MUSTERI,Ankara
120.01.0137,Zümrütlü Makine Gıda San. A.Ş.,TR,TÜRKİYE,MG1,Baharat,R1-4,Güneydoğu,R2-4,Fason Üretici,R3-3,Selim K.,YURTICI,MUSTERI,Ankara
120.01.0138,Vişneli Baharat San. Tic. Ltd. Şti.,TR,TÜRKİYE,MG1,Kozmetik,R1-6,Doğu Anadolu,R2-6,Marka Sahibi,R3-4,Pelin R.,BASKILI,MUSTERI,Ordu
120.01.0139,Casa Verde Ltd.,RO,ROMANYA,MG2,Süt Ürünleri,R1-6,Avrupa,R2-6,Marka Sahibi,R3-2,Deniz Y.,YURTDISI,MUSTERI,Romanya
120.01.0140,Narlıcan Gıda A.Ş.,TR,TÜRKİYE,MG1,Gıda,R1-2,Marmara,R2-6,Fason Üretici,R3-3,Selim K.,YURTICI,MUSTERI,Kocaeli
320.01.0001,Dalyanlı Kimya San. Tic. Ltd. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-5,Karadeniz,R2-2,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Konya
320.01.0002,Ünlüoğlu Kozmetik Ltd. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-3,Akdeniz,R2-1,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,İstanbul
320.01.0003,Dörtyollu Endüstri Koll. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-4,İç Anadolu,R2-3,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Kayseri
320.01.0004,Gümüşdere Kahve San. Tic. Ltd. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-6,Karadeniz,R2-4,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Ankara
320.01.0005,Aurelia Foods GmbH,DK,DANİMARKA,TG1,Endüstriyel,R1-1,Avrupa,R2-3,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Dani̇marka
320.01.0006,İncirli Şekerleme San. ve Tic. A.Ş.,TR,TÜRKİYE,TG1,Endüstriyel,R1-6,Akdeniz,R2-5,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Mersin
320.01.0007,Larkspur Oy,DK,DANİMARKA,TG1,Endüstriyel,R1-7,Avrupa,R2-4,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Dani̇marka
320.01.0008,Çınaraltı Salça Ltd. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-7,Güneydoğu,R2-1,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Ordu
320.01.0009,Bluewater S.p.A.,DE,ALMANYA,TG1,Endüstriyel,R1-8,Avrupa,R2-3,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Almanya
320.01.0010,Kavaklıdere Çay Ltd. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-7,Marmara,R2-4,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Denizli
320.01.0011,Akkavak Baharat San. Tic. Ltd. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-7,Güneydoğu,R2-5,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Konya
320.01.0012,Vişneli Turşu Ltd. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-3,Akdeniz,R2-1,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Balıkesir
320.01.0013,Fidanlık Kozmetik Koll. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-7,Doğu Anadolu,R2-5,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Kayseri
320.01.0014,Vişneli Boya San. ve Tic. A.Ş.,TR,TÜRKİYE,TG1,Endüstriyel,R1-5,Güneydoğu,R2-1,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,İstanbul
320.01.0015,Larkspur A/S,PL,POLONYA,TG1,Endüstriyel,R1-2,Avrupa,R2-1,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Polonya
320.01.0016,Solheim S.p.A.,DE,ALMANYA,TG1,Endüstriyel,R1-5,Avrupa,R2-4,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Almanya
320.01.0017,Hisarlı Makine Gıda San. A.Ş.,TR,TÜRKİYE,TG1,Endüstriyel,R1-5,Karadeniz,R2-4,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Manisa
320.01.0018,Brightcan Ltd.,PL,POLONYA,TG1,Endüstriyel,R1-4,Avrupa,R2-6,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Polonya
320.01.0019,Mercanlı Salça San. Tic. Ltd. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-3,Güneydoğu,R2-3,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,İzmir
320.01.0020,Akkavak Zeytin Koll. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-3,Ege,R2-1,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Tekirdağ
320.01.0021,Bluewater Trading B.V.,IT,İTALYA,TG1,Endüstriyel,R1-1,Avrupa,R2-2,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,İtalya
320.01.0022,Meridian S.p.A.,RO,ROMANYA,TG1,Endüstriyel,R1-9,Avrupa,R2-6,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Romanya
320.01.0023,Lodoslu Bisküvi A.Ş.,TR,TÜRKİYE,TG1,Endüstriyel,R1-4,Akdeniz,R2-5,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Ankara
320.01.0024,Dalyanlı Boya A.Ş.,TR,TÜRKİYE,TG1,Endüstriyel,R1-3,Güneydoğu,R2-4,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Denizli
320.01.0025,Bahçelik Makine San. Tic. Ltd. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-6,Güneydoğu,R2-4,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Kayseri
320.01.0026,Zümrütlü Bal A.Ş.,TR,TÜRKİYE,TG1,Endüstriyel,R1-1,Güneydoğu,R2-4,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Gaziantep
320.01.0027,Çınaraltı Kozmetik Koll. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-2,Doğu Anadolu,R2-2,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Aydın
320.01.0028,Vişneli Zeytin Gıda San. A.Ş.,TR,TÜRKİYE,TG1,Endüstriyel,R1-8,İç Anadolu,R2-2,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Eskişehir
320.01.0029,Brightcan Oy,IT,İTALYA,TG1,Endüstriyel,R1-9,Avrupa,R2-4,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,İtalya
320.01.0030,Ferahlı Boya San. ve Tic. A.Ş.,TR,TÜRKİYE,TG1,Endüstriyel,R1-6,Marmara,R2-4,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,İstanbul
320.01.0031,Sarıçam Tarım San. ve Tic. A.Ş.,TR,TÜRKİYE,TG1,Endüstriyel,R1-5,Ege,R2-1,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Denizli
320.01.0032,Erikçi Konserve A.Ş.,TR,TÜRKİYE,TG1,Endüstriyel,R1-8,Doğu Anadolu,R2-1,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Şanlıurfa
320.01.0033,Sarıçam Turşu Ltd. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-8,Akdeniz,R2-3,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Denizli
320.01.0034,Larkspur Foods GmbH,PL,POLONYA,TG1,Endüstriyel,R1-7,Avrupa,R2-1,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Polonya
320.01.0035,Vişneli Süt Gıda San. A.Ş.,TR,TÜRKİYE,TG1,Endüstriyel,R1-3,Güneydoğu,R2-6,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Manisa
320.01.0036,Solheim Ltd.,PL,POLONYA,TG1,Endüstriyel,R1-4,Avrupa,R2-3,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Polonya
320.01.0037,Dörtyollu Süt Ltd. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-7,Marmara,R2-2,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Şanlıurfa
320.01.0038,Fidanlık Kimya San. Tic. Ltd. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-3,Güneydoğu,R2-2,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Kayseri
320.01.0039,Kavaklıdere Kahve San. Tic. Ltd. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-8,Marmara,R2-4,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Antalya
320.01.0040,Gökbayır Boya Koll. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-7,Akdeniz,R2-5,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Eskişehir
320.01.0041,Vadiköy Zeytin Ltd. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-9,İç Anadolu,R2-2,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Konya
320.01.0042,İncirli Kahve Ltd. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-4,Güneydoğu,R2-6,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Antalya
320.01.0043,Bozkırlı Kimya Ltd. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-8,Doğu Anadolu,R2-6,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Manisa
320.01.0044,Denizcan Kimya San. ve Tic. A.Ş.,TR,TÜRKİYE,TG1,Endüstriyel,R1-8,Akdeniz,R2-4,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Kocaeli
320.01.0045,Tuzlalı Şekerleme San. Tic. Ltd. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-4,Güneydoğu,R2-4,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Kocaeli
320.01.0046,Cevizli Şekerleme Gıda San. A.Ş.,TR,TÜRKİYE,TG1,Endüstriyel,R1-7,Doğu Anadolu,R2-6,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Gaziantep
320.01.0047,Tuzlalı Baharat Gıda San. A.Ş.,TR,TÜRKİYE,TG1,Endüstriyel,R1-9,İç Anadolu,R2-4,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Bursa
320.01.0048,Ferahlı Makine San. ve Tic. A.Ş.,TR,TÜRKİYE,TG1,Endüstriyel,R1-8,Ege,R2-3,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Samsun
320.01.0049,Ferahlı Salça Koll. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-6,Ege,R2-3,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Mersin
320.01.0050,Yıldızcan Reçel Gıda San. A.Ş.,TR,TÜRKİYE,TG1,Endüstriyel,R1-4,Doğu Anadolu,R2-1,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Manisa
320.01.0051,Vişneli Boya Ltd. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-1,İç Anadolu,R2-4,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Eskişehir
320.01.0052,Berkant Ambalaj Koll. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-4,Karadeniz,R2-3,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Manisa
320.01.0053,Poyrazlı Ambalaj Koll. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-6,İç Anadolu,R2-3,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Balıkesir
320.01.0054,Erikçi Turşu San. Tic. Ltd. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-8,Karadeniz,R2-6,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Tekirdağ
320.01.0055,Toprakçı Salça San. Tic. Ltd. Şti.,TR,TÜRKİYE,TG1,Endüstriyel,R1-3,Marmara,R2-6,Tedarikçi,R3-1,Satın Alma,SATINALMA,TEDARIKCI,Antalya
