STOK_KODU,STHAR_CARIKOD,FISNO,STHAR_TARIH,STHAR_GCMIK,STHAR_GCMIK2,STHAR_NF,STHAR_GCKOD,DOLAR_KURU,TUTAR_USD,YIL,AY,STHAR_SIPNUM,STRA_SIPKONT,SIP_INC,AY_BASLANGICI,SIPARIS_TEMSILCISI,TEMSILCI_GRUP
M00038,120.01.0001,FT24503747,2024-04-16,600,50,93.9417,4,31.35,1797.9273,2024,4,SIP24001757,2,103747,2024-04-01,Bahar Ö.,YURT_ICI
M00004,120.01.0001,FT24503748,2024-03-30,4800,200,488.696,4,30.8333,76078.1622,2024,3,SIP24001757,3,103748,2024-03-01,Bahar Ö.,YURT_ICI
M00023,120.01.0001,FT24503749,2024-04-08,960,20,142.2519,4,31.35,4356.039,2024,4,SIP24001757,4,103749,2024-04-01,Bahar Ö.,YURT_ICI
M00239,120.01.0001,FT24503750,2024-03-15,360,30,241.3144,4,30.8333,2817.5117,2024,3,SIP24001758,1,103750,2024-03-01,Bahar Ö.,YURT_ICI
M00013,120.01.0001,FT24503751,2024-03-14,1920,80,217.1357,4,30.8333,13521.1133,2024,3,SIP24001758,2,103751,2024-03-01,Bahar Ö.,YURT_ICI
M00073,120.01.0001,FT24503752,2024-04-04,2400,50,181.6455,4,31.35,13905.8756,2024,4,SIP24001758,3,103752,2024-04-01,Bahar Ö.,YURT_ICI
M00001,120.01.0001,FT24503753,2024-03-27,360,30,347.1304,4,30.8333,4052.9863,2024,3,SIP24001759,1,103753,2024-03-01,Bahar Ö.,YURT_ICI
M00010,120.01.0009,FT24503754,2024-03-18,720,12,455.4016,4,30.8333,10634.2543,2024,3,STK24000279,1,103754,2024-03-01,Cem A.,YURT_ICI
M00009,120.01.0002,FT24503755,2024-04-16,3000,50,321.6433,4,31.35,30779.2632,2024,4,SIP24001760,1,103755,2024-04-01,Nurhan T.,YURT_ICI
M00152,120.01.0002,FT24503756,2024-03-28,3840,80,197.6534,4,30.8333,24615.8879,2024,3,SIP24001760,2,103756,2024-03-01,Nurhan T.,YURT_ICI
M00001,120.01.0008,FT24503757,2024-04-09,960,80,362.406,4,31.35,11097.6,2024,4,SIP24001761,1,103757,2024-04-01,Nurhan T.,YURT_ICI
M00251,120.01.0008,FT24503758,2024-04-05,8000,80,163.0958,4,31.35,41619.3429,2024,4,SIP24001761,2,103758,2024-04-01,Nurhan T.,YURT_ICI
M00001,120.01.0008,FT24503759,2024-04-16,960,80,293.3151,4,31.35,8981.8978,2024,4,SIP24001761,3,103759,2024-04-01,Nurhan T.,YURT_ICI
M00001,120.01.0027,FT24503760,2024-03-09,1500.53,125.04,367.7926,4,30.8333,17898.9544,2024,3,SIP24001762,1,103760,2024-03-01,Deniz Y.,YURT_DISI
M00022,120.01.0027,FT24503761,2024-03-27,12000,120,193.8667,4,30.8333,75450.9054,2024,3,SIP24001762,2,103761,2024-03-01,Deniz Y.,YURT_DISI
M00002,120.01.0027,FT24503762,2024-03-18,9600,200,511.5733,4,30.8333,159279.2105,2024,3,SIP24001762,3,103762,2024-03-01,Deniz Y.,YURT_DISI
M00002,120.01.0027,FT24503763,2024-04-18,288,6,486.5364,4,31.35,4469.6167,2024,4,SIP24001762,4,103763,2024-04-01,Deniz Y.,YURT_DISI
M00093,120.01.0027,FT24503764,2024-03-19,1800,30,194.5079,4,30.8333,11355.0681,2024,3,SIP24001762,5,103764,2024-03-01,Deniz Y.,YURT_DISI
M00047,120.01.0025,FT24503765,2024-04-13,1440,30,196.3378,4,31.35,9018.387,2024,4,SIP24001763,1,103765,2024-04-01,Bahar Ö.,YURT_ICI
M00001,120.01.0025,FT24503766,2024-04-09,1440,120,314.7528,4,31.35,14457.5449,2024,4,SIP24001763,2,103766,2024-04-01,Bahar Ö.,YURT_ICI
M00003,120.01.0102,FT24503767,2024-03-22,7200,120,221.9602,4,30.8333,51830.7622,2024,3,SIP24001764,1,103767,2024-03-01,Nurhan T.,YURT_ICI
M00022,120.01.0004,FT24503768,2024-04-16,1200,12,195.29,4,31.35,7475.2153,2024,4,SIP24001765,1,103768,2024-04-01,Nurhan T.,YURT_ICI
M00024,120.01.0004,FT24503769,2024-04-16,347.03,3.47,352.9057,4,31.35,3906.5029,2024,4,SIP24001765,2,103769,2024-04-01,Nurhan T.,YURT_ICI
M00013,120.01.0004,FT24503770,2024-03-18,480,20,216.7017,4,30.8333,3373.522,2024,3,SIP24001765,3,103770,2024-03-01,Nurhan T.,YURT_ICI
M00100,120.01.0004,FT24503771,2024-03-29,9600,200,478.8546,4,30.8333,149092.188,2024,3,SIP24001765,4,103771,2024-03-01,Nurhan T.,YURT_ICI
M00002,120.01.0042,FT24503772,2024-03-13,240.63,5.01,464.7592,4,30.8333,3627.0852,2024,3,SIP24001766,1,103772,2024-03-01,Bahar Ö.,YURT_ICI
M00120,120.01.0045,FT24503773,2024-03-24,20000,200,532.6384,4,30.8333,345495.5519,2024,3,SIP24001767,1,103773,2024-03-01,Selim K.,YURT_ICI
M00187,120.01.0097,FT24503774,2024-04-20,1920,80,193.9205,4,31.35,11876.4708,2024,4,SIP24001768,1,103774,2024-04-01,Nurhan T.,YURT_ICI
M00010,120.01.0001,FT24503775,2024-04-05,360,6,402.4051,4,31.35,4620.9198,2024,4,SIP24001769,1,103775,2024-04-01,Bahar Ö.,YURT_ICI
M00040,120.01.0011,FT24503776,2024-04-02,1440,120,482.9535,4,31.35,22183.51,2024,4,STKB24000123,1,103776,2024-04-01,Bahar Ö.,YURT_ICI
M00002,120.01.0011,FT24503777,2024-03-13,5760,120,426.5939,4,30.8333,79692.4385,2024,3,STKB24000123,2,103777,2024-03-01,Bahar Ö.,YURT_ICI
M00001,120.01.0015,FT24503778,2024-03-26,2400,200,310.4644,4,30.8333,24165.9037,2024,3,SIP24001770,1,103778,2024-03-01,Selim K.,YURT_ICI
M00025,120.01.0003,FT24503779,2024-04-06,3000,30,210.8468,4,31.35,20176.7273,2024,4,SIP24001771,1,103779,2024-04-01,Bahar Ö.,YURT_ICI
M00012,120.01.0003,FT24503780,2024-03-18,2400,50,406.6592,4,30.8333,31653.5071,2024,3,SIP24001771,2,103780,2024-03-01,Bahar Ö.,YURT_ICI
M00063,120.01.0078,FT24503781,2024-04-14,2880,120,462.7282,4,31.35,42509.0021,2024,4,SIP24001772,1,103781,2024-04-01,Cem A.,YURT_ICI
M00010,120.01.0125,FT24503782,2024-03-20,7200,120,421.5209,4,30.8333,98430.9328,2024,3,STK24000280,1,103782,2024-03-01,Cem A.,YURT_ICI
M00003,120.01.0017,FT24503783,2024-03-16,1161.06,19.35,218.704,4,30.8333,8235.5267,2024,3,SIP24001773,1,103783,2024-03-01,Nurhan T.,YURT_ICI
M00325,120.01.0128,FT24503784,2024-03-22,1344.7,28.01,210.4658,4,30.8333,9178.8216,2024,3,SIP24001774,1,103784,2024-03-01,Deniz Y.,YURT_DISI
M00035,120.01.0128,FT24503785,2024-03-26,1200,12,473.2873,4,30.8333,18419.85,2024,3,SIP24001774,2,103785,2024-03-01,Deniz Y.,YURT_DISI
M00012,120.01.0068,FT24503786,2024-03-29,5760,120,385.8663,4,30.8333,72084.0743,2024,3,STKB24000124,1,103786,2024-03-01,Selim K.,YURT_ICI
M00056,120.01.0015,FT24503787,2024-04-10,720,30,467.5865,4,31.35,10738.8287,2024,4,SIP24001775,1,103787,2024-04-01,Selim K.,YURT_ICI
M00057,120.01.0015,FT24503788,2024-04-08,4800,80,298.5506,4,31.35,45711.0967,2024,4,SIP24001775,2,103788,2024-04-01,Selim K.,YURT_ICI
M00007,120.01.0025,FT24503789,2024-04-12,720,12,231.99,4,31.35,5328,2024,4,SIP24001776,1,103789,2024-04-01,Bahar Ö.,YURT_ICI
M00002,120.01.0025,FT24503790,2024-04-16,2400,50,446.1834,4,31.35,34157.5809,2024,4,SIP24001776,2,103790,2024-04-01,Bahar Ö.,YURT_ICI
M00004,120.01.0001,FT24503791,2024-03-29,1200,50,566.7869,4,30.8333,22058.7573,2024,3,SIP24001777,1,103791,2024-03-01,Bahar Ö.,YURT_ICI
M00001,120.01.0001,FT24503792,2024-04-18,240,20,333.6032,4,31.35,2553.9001,2024,4,SIP24001777,2,103792,2024-04-01,Bahar Ö.,YURT_ICI
M00006,120.01.0001,FT24503793,2024-04-14,3000,30,101.5959,4,31.35,9722.0957,2024,4,SIP24001777,3,103793,2024-04-01,Bahar Ö.,YURT_ICI
M00003,120.01.0124,FT24503794,2024-04-07,1800,30,201.441,4,31.35,11565.9904,2024,4,SIP24001778,1,103794,2024-04-01,Nurhan T.,YURT_ICI
M00011,120.01.0124,FT24503795,2024-04-03,12000,120,496.0019,4,31.35,189857.1866,2024,4,SIP24001778,2,103795,2024-04-01,Nurhan T.,YURT_ICI
M00001,120.01.0010,FT24503796,2024-04-22,960,80,283.6251,4,31.35,8685.1705,2024,4,SIP24001779,1,103796,2024-04-01,Nurhan T.,YURT_ICI
M00001,120.01.0010,FT24503797,2024-03-14,360,30,289.5346,4,30.8333,3380.5157,2024,3,SIP24001779,2,103797,2024-03-01,Nurhan T.,YURT_ICI
M00004,120.01.0010,FT24503798,2024-04-21,1920,80,570.046,4,31.35,34911.9081,2024,4,SIP24001779,3,103798,2024-04-01,Nurhan T.,YURT_ICI
M00031,120.01.0010,FT24503799,2024-04-04,12000,200,168.6228,4,31.35,64544.6124,2024,4,SIP24001779,4,103799,2024-04-01,Nurhan T.,YURT_ICI
M00013,120.01.0012,FT24503800,2024-03-19,720,30,206.3809,4,30.8333,4819.2781,2024,3,SIP24001780,1,103800,2024-03-01,Cem A.,YURT_ICI
M00010,120.01.0012,FT24503801,2024-03-25,4800,80,463.8715,4,30.8333,72213.5873,2024,3,SIP24001780,2,103801,2024-03-01,Cem A.,YURT_ICI
M00014,120.01.0002,FT24503802,2024-03-17,8000,80,90.7609,4,30.8333,23548.7995,2024,3,SIP24001781,1,103802,2024-03-01,Nurhan T.,YURT_ICI
M00293,120.01.0002,FT24503803,2024-04-07,600,6,404.3403,4,31.35,7738.5703,2024,4,SIP24001781,2,103803,2024-04-01,Nurhan T.,YURT_ICI
M00005,120.01.0002,FT24503804,2024-03-31,9600,200,400.6963,4,30.8333,124757.4694,2024,3,SIP24001781,3,103804,2024-03-01,Nurhan T.,YURT_ICI
M00026,120.01.0001,FT24503805,2024-04-14,4800,200,94.5873,4,31.35,14482.266,2024,4,SIP24001782,1,103805,2024-04-01,Bahar Ö.,YURT_ICI
M00029,120.01.0054,FT24503806,2024-04-08,2400,200,506.0515,4,31.35,38740.7847,2024,4,SIP24001783,1,103806,2024-04-01,Cem A.,YURT_ICI
M00011,120.01.0069,FT24503807,2024-03-25,12000,120,409.2908,4,30.8333,159291.7268,2024,3,STK24000281,1,103807,2024-03-01,Bahar Ö.,YURT_ICI
M00004,120.01.0069,FT24503808,2024-04-18,2880,120,498.2651,4,31.35,45773.636,2024,4,STK24000281,2,103808,2024-04-01,Bahar Ö.,YURT_ICI
M00013,120.01.0009,FT24503809,2024-04-17,4800,200,197.6415,4,31.35,30260.8995,2024,4,SIP24001784,1,103809,2024-04-01,Cem A.,YURT_ICI
M00061,120.01.0001,FT24503810,2024-04-11,5760,120,153.8841,4,31.35,28273.4423,2024,4,SIP24001785,1,103810,2024-04-01,Bahar Ö.,YURT_ICI
M00005,120.01.0001,FT24503811,2024-03-15,1440,30,459.0359,4,30.8333,21438.2403,2024,3,SIP24001785,2,103811,2024-03-01,Bahar Ö.,YURT_ICI
M00030,120.01.0004,FT24503812,2024-04-21,3000,50,270.9861,4,31.35,25931.6842,2024,4,SIP24001786,1,103812,2024-04-01,Nurhan T.,YURT_ICI
M00064,120.01.0009,FT24503813,2024-03-23,4800,80,529.537,4,30.8333,82436.1194,2024,3,STKB24000125,1,103813,2024-03-01,Cem A.,YURT_ICI
M00191,120.01.0010,FT24503814,2024-03-16,960,80,573.9485,4,30.8333,17869.9834,2024,3,SIP24001787,1,103814,2024-03-01,Nurhan T.,YURT_ICI
M00001,120.01.0010,FT24503815,2024-04-11,144,12,327.9708,4,31.35,1506.4687,2024,4,SIP24001787,2,103815,2024-04-01,Nurhan T.,YURT_ICI
M00020,120.01.0138,FT24503816,2024-04-02,2400,200,380.7296,4,31.35,29146.7636,2024,4,SIP24001788,1,103816,2024-04-01,Elif S.,YURT_DISI
M00050,120.01.0011,FT24503817,2024-03-20,72,6,441.5009,4,30.8333,1030.9654,2024,3,SIP24001789,1,103817,2024-03-01,Bahar Ö.,YURT_ICI
M00017,120.01.0061,FT24503818,2024-03-21,1200,12,334.3861,4,30.8333,13013.9596,2024,3,SIP24001790,1,103818,2024-03-01,Bahar Ö.,YURT_ICI
M00100,120.01.0061,FT24503819,2024-04-15,5760,120,413.8192,4,31.35,76031.853,2024,4,SIP24001790,2,103819,2024-04-01,Bahar Ö.,YURT_ICI
M00002,120.01.0061,FT24503820,2024-04-22,9600,200,442.0302,4,31.35,135358.5301,2024,4,SIP24001790,3,103820,2024-04-01,Bahar Ö.,YURT_ICI
M00126,120.01.0061,FT24503821,2024-04-03,144,6,343.2516,4,31.35,1576.6581,2024,4,SIP24001790,4,103821,2024-04-01,Bahar Ö.,YURT_ICI
M00004,120.01.0061,FT24503822,2024-03-19,117,4.88,465.8376,4,30.8333,1767.6667,2024,3,SIP24001790,5,103822,2024-03-01,Bahar Ö.,YURT_ICI
M00008,120.01.0020,FT24503823,2024-04-14,240,20,504.4814,4,31.35,3862.0586,2024,4,SIP24001791,1,103823,2024-04-01,Deniz Y.,YURT_DISI
M00315,120.01.0020,FT24503824,2024-03-26,960,20,323.1427,4,30.8333,10061.1025,2024,3,SIP24001791,2,103824,2024-03-01,Deniz Y.,YURT_DISI
M00049,120.01.0020,FT24503825,2024-03-15,3000,50,229.0665,4,30.8333,22287.5754,2024,3,SIP24001791,3,103825,2024-03-01,Deniz Y.,YURT_DISI
M00006,120.01.0008,FT24503826,2024-04-06,600,6,109.0822,4,31.35,2087.6976,2024,4,SIP24001792,1,103826,2024-04-01,Nurhan T.,YURT_ICI
M00013,120.01.0050,FT24503827,2024-04-15,144,6,186.8642,4,31.35,858.3236,2024,4,SIP24001793,1,103827,2024-04-01,Nurhan T.,YURT_ICI
M00031,120.01.0042,FT24503828,2024-04-24,7200,120,179.6089,4,31.35,41249.8909,2024,4,SIP24001794,1,103828,2024-04-01,Bahar Ö.,YURT_ICI
M00005,120.01.0042,FT24503829,2024-04-12,960,20,423.7963,4,31.35,12977.4944,2024,4,SIP24001794,2,103829,2024-04-01,Bahar Ö.,YURT_ICI
M00001,120.01.0123,FT24503830,2024-03-25,302.5,25.21,325.1638,4,30.8333,3190.124,2024,3,SIP24001795,1,103830,2024-03-01,Kaan M.,BASKILI
M00003,120.01.0015,FT24503831,2024-04-17,1200,20,208.8143,4,31.35,7992.8919,2024,4,SIP24001796,1,103831,2024-04-01,Selim K.,YURT_ICI
M00017,120.01.0002,FT24503832,2024-04-20,8000,80,342.6944,4,31.35,87449.9266,2024,4,SIP24001797,1,103832,2024-04-01,Nurhan T.,YURT_ICI
M00008,120.01.0002,FT24503833,2024-03-26,600,50,446.6375,4,30.8333,8691.3337,2024,3,SIP24001797,2,103833,2024-03-01,Nurhan T.,YURT_ICI
M00052,120.01.0096,FT24503834,2024-03-25,2880,120,397.1958,4,30.8333,37100.2748,2024,3,SIP24001798,1,103834,2024-03-01,Deniz Y.,YURT_DISI
M00240,120.01.0042,FT24503835,2024-03-31,20000,200,68.6443,4,30.8333,44526.0806,2024,3,SIP24001799,1,103835,2024-03-01,Bahar Ö.,YURT_ICI
M00001,120.01.0042,FT24503836,2024-04-04,240,20,321.7455,4,31.35,2463.1234,2024,4,SIP24001799,2,103836,2024-04-01,Bahar Ö.,YURT_ICI
M00022,120.01.0009,FT24503837,2024-04-09,1200,12,199.492,4,31.35,7636.0574,2024,4,SIP24001800,1,103837,2024-04-01,Cem A.,YURT_ICI
M00003,120.01.0010,FT24503838,2024-03-22,4800,80,228.4239,4,30.8333,35560.0834,2024,3,SIP24001801,1,103838,2024-03-01,Nurhan T.,YURT_ICI
M00028,120.01.0010,FT24503839,2024-04-14,480,20,235.8427,4,31.35,3610.9887,2024,4,SIP24001801,2,103839,2024-04-01,Nurhan T.,YURT_ICI
M00192,120.01.0019,FT24503840,2024-04-26,144,12,572.9109,4,31.35,2631.5525,2024,4,STKB24000126,1,103840,2024-04-01,Selim K.,YURT_ICI
M00003,120.01.0016,FT24503841,2024-03-25,360,6,193.3704,4,30.8333,2257.7325,2024,3,STKB24000127,1,103841,2024-03-01,Selim K.,YURT_ICI
M00144,120.01.0018,FT24503842,2024-03-27,600,50,263.6658,4,30.8333,5130.7995,2024,3,SIP24001802,1,103842,2024-03-01,Elif S.,YURT_DISI
M00167,120.01.0018,FT24503843,2024-04-24,600,50,60.8194,4,31.35,1164.0077,2024,4,SIP24001802,2,103843,2024-04-01,Elif S.,YURT_DISI
M00009,120.01.0018,FT24503844,2024-04-01,1800,30,322.6295,4,31.35,18524.1818,2024,4,SIP24001802,3,103844,2024-04-01,Elif S.,YURT_DISI
M00011,120.01.0018,FT24503845,2024-04-20,8000,80,403.5029,4,31.35,102967.2472,2024,4,SIP24001802,4,103845,2024-04-01,Elif S.,YURT_DISI
M00030,120.01.0100,FT24503846,2024-04-23,1200,20,238.7022,4,31.35,9136.9263,2024,4,SIP24001803,1,103846,2024-04-01,Nurhan T.,YURT_ICI
M00001,120.01.0023,FT24503847,2024-04-01,240,20,348.678,4,31.35,2669.3053,2024,4,SIP24001804,1,103847,2024-04-01,Cem A.,YURT_ICI
M00158,120.01.0023,FT24503848,2024-04-20,8000,80,338.6861,4,31.35,86427.075,2024,4,SIP24001804,2,103848,2024-04-01,Cem A.,YURT_ICI
M00014,120.01.0023,FT24503849,2024-04-08,2000,20,82.7506,4,31.35,5279.1451,2024,4,SIP24001804,3,103849,2024-04-01,Cem A.,YURT_ICI
M00002,120.01.0004,FT24503850,2024-03-28,960,20,400.1757,4,30.8333,12459.538,2024,3,SIP24001805,1,103850,2024-03-01,Nurhan T.,YURT_ICI
M00006,120.01.0029,FT24503851,2024-03-22,20000,200,94.2733,4,30.8333,61150.3148,2024,3,SIP24001806,1,103851,2024-03-01,Kaan M.,BASKILI
M00062,120.01.0029,FT24503852,2024-04-06,720,30,303.7659,4,31.35,6976.4417,2024,4,SIP24001806,2,103852,2024-04-01,Kaan M.,BASKILI
M00001,120.01.0029,FT24503853,2024-04-18,1440,120,309.5792,4,31.35,14219.9058,2024,4,SIP24001806,3,103853,2024-04-01,Kaan M.,BASKILI
M00004,120.01.0029,FT24503854,2024-03-27,1920,80,509.7685,4,30.8333,31743.4566,2024,3,SIP24001806,4,103854,2024-03-01,Kaan M.,BASKILI
M00001,120.01.0005,FT24503855,2024-03-17,360,30,303.2528,4,30.8333,3540.6852,2024,3,SIP24001807,1,103855,2024-03-01,Elif S.,YURT_DISI
M00005,120.01.0003,FT24503856,2024-04-28,288,6,389.4112,4,31.35,3577.366,2024,4,SIP24001808,1,103856,2024-04-01,Bahar Ö.,YURT_ICI
M00006,120.01.0009,FT24503857,2024-03-29,1200,12,102.1435,4,30.8333,3975.3189,2024,3,SIP24001809,1,103857,2024-03-01,Cem A.,YURT_ICI
M00007,120.01.0009,FT24503858,2024-04-21,1800,30,245.0061,4,31.35,14067.3359,2024,4,SIP24001809,2,103858,2024-04-01,Cem A.,YURT_ICI
M00010,120.01.0041,FT24503859,2024-04-03,4800,80,391.7969,4,31.35,59988.0421,2024,4,SIP24001810,1,103859,2024-04-01,Selim K.,YURT_ICI
M00038,120.01.0041,FT24503860,2024-04-14,240,20,89.3,4,31.35,683.6364,2024,4,SIP24001810,2,103860,2024-04-01,Selim K.,YURT_ICI
M00002,120.01.0026,FT24503861,2024-04-17,9600,200,493.6799,4,31.35,151174.7062,2024,4,SIP24001811,1,103861,2024-04-01,Elif S.,YURT_DISI
M00005,120.01.0019,FT24503862,2024-03-23,3840,80,399.836,4,30.8333,49795.8454,2024,3,SIP24001812,1,103862,2024-03-01,Selim K.,YURT_ICI
M00002,120.01.0035,FT24503863,2024-04-27,9600,200,469.3423,4,31.35,143722.044,2024,4,SIP24001813,1,103863,2024-04-01,Selim K.,YURT_ICI
M00137,120.01.0035,FT24503864,2024-04-19,720,12,418.4432,4,31.35,9610.1788,2024,4,SIP24001813,2,103864,2024-04-01,Selim K.,YURT_ICI
M00004,120.01.0014,FT24503865,2024-04-27,480,20,523.8324,4,31.35,8020.4004,2024,4,SIP24001814,1,103865,2024-04-01,Kaan M.,BASKILI
M00001,120.01.0014,FT24503866,2024-04-16,144,12,331.0073,4,31.35,1520.4163,2024,4,SIP24001814,2,103866,2024-04-01,Kaan M.,BASKILI
M00058,120.01.0018,FT24503867,2024-04-15,1800,30,603.398,4,31.35,34644.8612,2024,4,SIP24001815,1,103867,2024-04-01,Elif S.,YURT_DISI
M00049,120.01.0018,FT24503868,2024-04-10,4800,80,218.2541,4,31.35,33416.8957,2024,4,SIP24001815,2,103868,2024-04-01,Elif S.,YURT_DISI
M00007,120.01.0018,FT24503869,2024-04-16,12000,200,203.3545,4,31.35,77839.0431,2024,4,SIP24001815,3,103869,2024-04-01,Elif S.,YURT_DISI
M00025,120.01.0002,FT24503870,2024-04-11,8000,80,235.9618,4,31.35,60213.5375,2024,4,SIP24001816,1,103870,2024-04-01,Nurhan T.,YURT_ICI
M00002,120.01.0001,FT24503871,2024-03-30,9600,200,491.2877,4,30.8333,152963.2547,2024,3,SIP24001817,1,103871,2024-03-01,Bahar Ö.,YURT_ICI
M00001,120.01.0001,FT24503872,2024-04-22,600,50,329.0171,4,31.35,6296.978,2024,4,SIP24001817,2,103872,2024-04-01,Bahar Ö.,YURT_ICI
M00002,120.01.0001,FT24503873,2024-04-09,576,12,453.3613,4,31.35,8329.7004,2024,4,SIP24001817,3,103873,2024-04-01,Bahar Ö.,YURT_ICI
M00002,120.01.0005,FT24503874,2024-04-15,576,12,427.7376,4,31.35,7858.9109,2024,4,STK24000282,1,103874,2024-04-01,Elif S.,YURT_DISI
M00002,120.01.0005,FT24503875,2024-04-03,2400,50,425.7729,4,31.35,32595.0545,2024,4,STK24000282,2,103875,2024-04-01,Elif S.,YURT_DISI
M00001,120.01.0013,FT24503876,2024-03-30,1440,120,337.9756,4,30.8333,15784.391,2024,3,SIP24001818,1,103876,2024-03-01,Bahar Ö.,YURT_ICI
M00004,120.01.0013,FT24503877,2024-03-26,4800,200,526.5592,4,30.8333,81972.5479,2024,3,SIP24001818,2,103877,2024-03-01,Bahar Ö.,YURT_ICI
M00017,120.01.0013,FT24503878,2024-04-26,3000,30,292.6652,4,31.35,28006.2392,2024,4,SIP24001818,3,103878,2024-04-01,Bahar Ö.,YURT_ICI
M00002,120.01.0013,FT24503879,2024-04-26,3840,80,465.4409,4,31.35,57010.9428,2024,4,SIP24001818,4,103879,2024-04-01,Bahar Ö.,YURT_ICI
M00034,120.01.0035,FT24503880,2024-04-23,1200,50,195.5575,4,31.35,7485.4545,2024,4,SIP24001819,1,103880,2024-04-01,Selim K.,YURT_ICI
M00037,120.01.0006,FT24503881,2024-04-28,288,12,348.3462,4,31.35,3200.1182,2024,4,SIP24001820,1,103881,2024-04-01,Selim K.,YURT_ICI
M00001,120.01.0006,FT24503882,2024-04-28,240,20,298.7285,4,31.35,2286.9167,2024,4,SIP24001820,2,103882,2024-04-01,Selim K.,YURT_ICI
M00083,120.01.0006,FT24503883,2024-04-23,1148.82,19.15,463.9043,4,31.35,16999.762,2024,4,SIP24001820,3,103883,2024-04-01,Selim K.,YURT_ICI
M00001,120.01.0099,FT24503884,2024-04-16,960,80,354.6051,4,31.35,10858.7208,2024,4,SIP24001821,1,103884,2024-04-01,Selim K.,YURT_ICI
M00015,120.01.0002,FT24503885,2024-04-04,576,12,259.5029,4,31.35,4767.9002,2024,4,SIP24001822,1,103885,2024-04-01,Nurhan T.,YURT_ICI
M00001,120.01.0063,FT24503886,2024-05-04,600,50,288.6186,4,31.8667,5434.2357,2024,5,SIP24001823,1,103886,2024-05-01,Kaan M.,BASKILI
M00012,120.01.0063,FT24503887,2024-04-24,5760,120,441.6117,4,31.35,81138.2262,2024,4,SIP24001823,2,103887,2024-04-01,Kaan M.,BASKILI
M00008,120.01.0063,FT24503888,2024-04-08,144,12,459.123,4,31.35,2108.8903,2024,4,SIP24001823,3,103888,2024-04-01,Kaan M.,BASKILI
M00106,120.01.0076,FT24503889,2024-03-26,960,80,614.8926,4,30.8333,19144.7849,2024,3,SIP24001824,1,103889,2024-03-01,Kaan M.,BASKILI
M00013,120.01.0078,FT24503890,2024-05-01,2880,120,206.2811,4,31.8667,18642.9586,2024,5,SIP24001825,1,103890,2024-05-01,Cem A.,YURT_ICI
M00001,120.01.0013,FT24503891,2024-04-01,360,30,321.0815,4,31.35,3687.0603,2024,4,SIP24001826,1,103891,2024-04-01,Bahar Ö.,YURT_ICI
M00021,120.01.0013,FT24503892,2024-04-01,720,30,580.0702,4,31.35,13322.1864,2024,4,SIP24001826,2,103892,2024-04-01,Bahar Ö.,YURT_ICI
M00003,120.01.0012,FT24503893,2024-05-01,1800,30,230.9672,4,31.8667,13046.2508,2024,5,SIP24001827,1,103893,2024-05-01,Cem A.,YURT_ICI
M00002,120.01.0012,FT24503894,2024-04-13,288,6,505.7326,4,31.35,4645.9646,2024,4,SIP24001827,2,103894,2024-04-01,Cem A.,YURT_ICI
M00024,120.01.0002,FT24503895,2024-03-31,8000,80,359.6639,4,30.8333,93318.302,2024,3,SIP24001828,1,103895,2024-03-01,Nurhan T.,YURT_ICI
M00027,120.01.0003,FT24503896,2024-04-11,576,12,209.8652,4,31.35,3855.8965,2024,4,STK24000283,1,103896,2024-04-01,Bahar Ö.,YURT_ICI
M00038,120.01.0066,FT24503897,2024-04-05,240,20,88.0985,4,31.35,674.4383,2024,4,STKB24000128,1,103897,2024-04-01,Cem A.,YURT_ICI
M00041,120.01.0066,FT24503898,2024-04-03,144,12,187.2836,4,31.35,860.25,2024,4,STKB24000128,2,103898,2024-04-01,Cem A.,YURT_ICI
M00119,120.01.0053,FT24503899,2024-03-31,2400,50,446.2556,4,30.8333,34735.6086,2024,3,SIP24001829,1,103899,2024-03-01,Bahar Ö.,YURT_ICI
M00004,120.01.0053,FT24503900,2024-04-12,480,20,538.622,4,31.35,8246.844,2024,4,SIP24001829,2,103900,2024-04-01,Bahar Ö.,YURT_ICI
M00001,120.01.0070,FT24503901,2024-04-26,600,50,369.477,4,31.35,7071.3301,2024,4,SIP24001830,1,103901,2024-04-01,Kaan M.,BASKILI
M00012,120.01.0002,FT24503902,2024-04-01,5760,120,384.5577,4,31.35,70655.5774,2024,4,STK24000284,1,103902,2024-04-01,Nurhan T.,YURT_ICI
M00072,120.01.0002,FT24503903,2024-04-15,720,30,334.4089,4,31.35,7680.2044,2024,4,STK24000284,2,103903,2024-04-01,Nurhan T.,YURT_ICI
M00008,120.01.0002,FT24503904,2024-03-30,600,50,497.0441,4,30.8333,9672.22,2024,3,STK24000284,3,103904,2024-03-01,Nurhan T.,YURT_ICI
M00001,120.01.0071,FT24503905,2024-04-22,240,20,290.3235,4,31.35,2222.5722,2024,4,SIP24001831,1,103905,2024-04-01,Kaan M.,BASKILI
M00034,120.01.0017,FT24503906,2024-03-25,144,6,198.8998,4,30.8333,928.9168,2024,3,SIP24001832,1,103906,2024-03-01,Nurhan T.,YURT_ICI
M00176,120.01.0032,FT24503907,2024-04-19,1920,80,382.0118,4,31.35,23395.938,2024,4,SIP24001833,1,103907,2024-04-01,Cem A.,YURT_ICI
M00071,120.01.0032,FT24503908,2024-04-19,600,6,44.7217,4,31.35,855.9177,2024,4,SIP24001833,2,103908,2024-04-01,Cem A.,YURT_ICI
