STOK_KODU,STOK_ADI,GRUP_KODU,GRUP_ADI,KOD_1,AD1,KOD_2,AD2,KOD_3,AD3,KOD_4,AD4,KOD_5,AD5,INGISIM,KT_YUKSEKLIK,OLCU_BR1,OLCU_BR2,OLCU_BR3,BIRIM2_CARPAN,BIRIM3_CARPAN,BIRIM_MALIYET
M00090,YUVARLAK KUTU 153-118 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,153-118,Kalıp 153-118,B1,Litografi,P2,2 Parça,Yuvarlak Tin 153-118 Litografi 2 pc,123,ADET,KOLİ,PALET,12,240,9.5667
M00091,KARE KUTU 105-072 HAM TENEKE 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA5,Endüstriyel,105-072,Kalıp 105-072,B3,Ham Teneke,P3,3 Parça,Kare Tin 105-072 Ham Teneke 3 pc,77,ADET,KOLİ,PALET,100,3000,1.4413
M00092,OVAL KUTU 164-092 VERNIKLI 2 PARÇA,01,Mamul,SK05,Oval Kutu,KA6,Bal-Reçel,164-092,Kalıp 164-092,B2,Vernikli,P2,2 Parça,Oval Tin 164-092 Vernikli 2 pc,97,ADET,KOLİ,PALET,48,1440,3.5848
M00093,TEPSI 216-032 VERNIKLI 2 PARÇA,01,Mamul,SK11,Tepsi,KA1,Gıda,216-032,Kalıp 216-032,B2,Vernikli,P2,2 Parça,Tepsi 216-032 Vernikli 2 pc,37,ADET,KOLİ,PALET,60,1440,3.307
M00094,DIKDORTGEN KUTU 118-058 MAT LAK 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA1,Gıda,118-058,Kalıp 118-058,B4,Mat Lak,P3,3 Parça,Dikdortgen Tin 118-058 Mat Lak 3 pc,63,ADET,KOLİ,PALET,60,1800,5.3824
M00095,YUVARLAK KUTU 073-062 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,073-062,Kalıp 073-062,B1,Litografi,P2,2 Parça,Yuvarlak Tin 073-062 Litografi 2 pc,67,ADET,KOLİ,PALET,100,2000,1.6302
M00096,KAPAK 148-034 HAM TENEKE 2 PARÇA,01,Mamul,SK12,Kapak,KA1,Gıda,148-034,Kalıp 148-034,B3,Ham Teneke,P2,2 Parça,Kapak 148-034 Ham Teneke 2 pc,39,ADET,KOLİ,PALET,12,288,1.1792
M00097,YUVARLAK-SIVAMA KUTU 112-096 HAM TENEKE 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA1,Gıda,112-096,Kalıp 112-096,B3,Ham Teneke,P2,2 Parça,Yuvarlak-Drawn Tin 112-096 Ham Teneke 2 pc,101,ADET,KOLİ,PALET,12,240,6.2549
M00098,YUVARLAK KUTU 099-084 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,099-084,Kalıp 099-084,B2,Vernikli,P3,3 Parça,Yuvarlak Tin 099-084 Vernikli 3 pc,89,ADET,KOLİ,PALET,24,720,4.2213
M00099,TEPSI 216-032 VERNIKLI 3 PARÇA,01,Mamul,SK11,Tepsi,KA3,Kozmetik,216-032,Kalıp 216-032,B2,Vernikli,P3,3 Parça,Tepsi 216-032 Vernikli 3 pc,37,ADET,KOLİ,PALET,60,1440,7.9008
M00100,OVAL KUTU 128-066 HAM TENEKE 2 PARÇA,01,Mamul,SK05,Oval Kutu,KA2,Boya-Kimya,128-066,Kalıp 128-066,B3,Ham Teneke,P2,2 Parça,Oval Tin 128-066 Ham Teneke 2 pc,71,ADET,KOLİ,PALET,48,1152,9.256
M00101,TEL MEKANIZMALI KUTU 176-132 HAM TENEKE 3 PARÇA,01,Mamul,SK15,Tel Mekanizmali Kutu,KA4,Hediyelik,176-132,Kalıp 176-132,B3,Ham Teneke,P3,3 Parça,Tel Mekanizmali Tin 176-132 Ham Teneke 3 pc,137,ADET,KOLİ,PALET,60,1440,8.9147
M00102,TEPSI 312-058 LITOGRAFI 2 PARÇA,01,Mamul,SK11,Tepsi,KA1,Gıda,312-058,Kalıp 312-058,B1,Litografi,P2,2 Parça,Tepsi 312-058 Litografi 2 pc,63,ADET,KOLİ,PALET,60,1200,2.0405
M00103,KAPAK 148-034 HAM TENEKE 2 PARÇA,01,Mamul,SK12,Kapak,KA3,Kozmetik,148-034,Kalıp 148-034,B3,Ham Teneke,P2,2 Parça,Kapak 148-034 Ham Teneke 2 pc,39,ADET,KOLİ,PALET,60,1800,4.64
M00104,ALTIGEN KUTU 096-054 MAT LAK 3 PARÇA,01,Mamul,SK06,Altıgen Kutu,KA5,Endüstriyel,096-054,Kalıp 096-054,B4,Mat Lak,P3,3 Parça,Altıgen Tin 096-054 Mat Lak 3 pc,59,ADET,KOLİ,PALET,60,1800,3.4996
M00105,YUVARLAK-SIVAMA KUTU 112-096 LITOGRAFI 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA1,Gıda,112-096,Kalıp 112-096,B1,Litografi,P2,2 Parça,Yuvarlak-Drawn Tin 112-096 Litografi 2 pc,101,ADET,KOLİ,PALET,60,1440,4.2455
M00106,OVAL KUTU 164-092 HAM TENEKE 2 PARÇA,01,Mamul,SK05,Oval Kutu,KA5,Endüstriyel,164-092,Kalıp 164-092,B3,Ham Teneke,P2,2 Parça,Oval Tin 164-092 Ham Teneke 2 pc,97,ADET,KOLİ,PALET,12,288,10.1154
M00107,PLAKA-BARDAK ALTI 186-012 VERNIKLI 3 PARÇA,01,Mamul,SK16,Plaka-Bardak Alti,KA4,Hediyelik,186-012,Kalıp 186-012,B2,Vernikli,P3,3 Parça,Plaka-Bardak Alti 186-012 Vernikli 3 pc,17,ADET,KOLİ,PALET,24,480,4.903
M00108,OVAL KUTU 128-066 LITOGRAFI 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA5,Endüstriyel,128-066,Kalıp 128-066,B1,Litografi,P3,3 Parça,Oval Tin 128-066 Litografi 3 pc,71,ADET,KOLİ,PALET,100,2400,10.1144
M00109,YUVARLAK KUTU 073-062 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,073-062,Kalıp 073-062,B4,Mat Lak,P2,2 Parça,Yuvarlak Tin 073-062 Mat Lak 2 pc,67,ADET,KOLİ,PALET,24,480,6.1003
M00110,OVAL KUTU 208-136 LITOGRAFI 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA1,Gıda,208-136,Kalıp 208-136,B1,Litografi,P3,3 Parça,Oval Tin 208-136 Litografi 3 pc,141,ADET,KOLİ,PALET,60,1800,0.9811
M00111,YUVARLAK KUTU 153-118 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,153-118,Kalıp 153-118,B2,Vernikli,P2,2 Parça,Yuvarlak Tin 153-118 Vernikli 2 pc,123,ADET,KOLİ,PALET,60,1440,8.7811
M00112,YUVARLAK KUTU 153-118 HAM TENEKE 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,153-118,Kalıp 153-118,B3,Ham Teneke,P2,2 Parça,Yuvarlak Tin 153-118 Ham Teneke 2 pc,123,ADET,KOLİ,PALET,24,480,9.6005
M00113,OVAL KUTU 208-136 MAT LAK 2 PARÇA,01,Mamul,SK05,Oval Kutu,KA4,Hediyelik,208-136,Kalıp 208-136,B4,Mat Lak,P2,2 Parça,Oval Tin 208-136 Mat Lak 2 pc,141,ADET,KOLİ,PALET,24,480,10.2043
M00114,YUVARLAK-SIVAMA KUTU 066-048 HAM TENEKE 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,066-048,Kalıp 066-048,B3,Ham Teneke,P3,3 Parça,Yuvarlak-Drawn Tin 066-048 Ham Teneke 3 pc,53,ADET,KOLİ,PALET,24,480,1.1345
M00115,OVAL KUTU 164-092 VERNIKLI 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA1,Gıda,164-092,Kalıp 164-092,B2,Vernikli,P3,3 Parça,Oval Tin 164-092 Vernikli 3 pc,97,ADET,KOLİ,PALET,100,2400,9.4113
M00116,KAPAK 084-022 MAT LAK 3 PARÇA,01,Mamul,SK12,Kapak,KA1,Gıda,084-022,Kalıp 084-022,B4,Mat Lak,P3,3 Parça,Kapak 084-022 Mat Lak 3 pc,27,ADET,KOLİ,PALET,60,1440,2.8319
M00117,YUVARLAK KUTU 153-118 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,153-118,Kalıp 153-118,B4,Mat Lak,P2,2 Parça,Yuvarlak Tin 153-118 Mat Lak 2 pc,123,ADET,KOLİ,PALET,100,2400,10.6647
M00118,KARE KUTU 168-142 VERNIKLI 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA6,Bal-Reçel,168-142,Kalıp 168-142,B2,Vernikli,P2,2 Parça,Kare Tin 168-142 Vernikli 2 pc,147,ADET,KOLİ,PALET,24,480,12.098
M00119,KAPAK 148-034 LITOGRAFI 3 PARÇA,01,Mamul,SK12,Kapak,KA3,Kozmetik,148-034,Kalıp 148-034,B1,Litografi,P3,3 Parça,Kapak 148-034 Litografi 3 pc,39,ADET,KOLİ,PALET,48,1440,10.8146
M00120,ALTIGEN KUTU 096-054 VERNIKLI 3 PARÇA,01,Mamul,SK06,Altıgen Kutu,KA5,Endüstriyel,096-054,Kalıp 096-054,B2,Vernikli,P3,3 Parça,Altıgen Tin 096-054 Vernikli 3 pc,59,ADET,KOLİ,PALET,100,2400,11.3535
M00121,KARE KUTU 168-142 HAM TENEKE 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA6,Bal-Reçel,168-142,Kalıp 168-142,B3,Ham Teneke,P2,2 Parça,Kare Tin 168-142 Ham Teneke 2 pc,147,ADET,KOLİ,PALET,12,240,1.1591
M00122,YUVARLAK-SIVAMA KUTU 088-071 HAM TENEKE 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,088-071,Kalıp 088-071,B3,Ham Teneke,P2,2 Parça,Yuvarlak-Drawn Tin 088-071 Ham Teneke 2 pc,76,ADET,KOLİ,PALET,48,1152,5.1916
M00123,OVAL KUTU 208-136 HAM TENEKE 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA2,Boya-Kimya,208-136,Kalıp 208-136,B3,Ham Teneke,P3,3 Parça,Oval Tin 208-136 Ham Teneke 3 pc,141,ADET,KOLİ,PALET,100,2000,1.0045
M00124,YUVARLAK KUTU 153-118 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,153-118,Kalıp 153-118,B3,Ham Teneke,P3,3 Parça,Yuvarlak Tin 153-118 Ham Teneke 3 pc,123,ADET,KOLİ,PALET,100,3000,8.5186
M00125,SEKIZGEN KUTU 102-068 LITOGRAFI 2 PARÇA,01,Mamul,SK07,Sekizgen Kutu,KA5,Endüstriyel,102-068,Kalıp 102-068,B1,Litografi,P2,2 Parça,Sekizgen Tin 102-068 Litografi 2 pc,73,ADET,KOLİ,PALET,12,240,4.7768
M00126,YUVARLAK-SIVAMA KUTU 112-096 MAT LAK 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA4,Hediyelik,112-096,Kalıp 112-096,B4,Mat Lak,P3,3 Parça,Yuvarlak-Drawn Tin 112-096 Mat Lak 3 pc,101,ADET,KOLİ,PALET,24,720,6.5115
M00127,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,073-062,Kalıp 073-062,B2,Vernikli,P3,3 Parça,Yuvarlak Tin 073-062 Vernikli 3 pc,67,ADET,KOLİ,PALET,48,960,3.7662
M00128,KAPAK 148-034 HAM TENEKE 2 PARÇA,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,148-034,Kalıp 148-034,B3,Ham Teneke,P2,2 Parça,Kapak 148-034 Ham Teneke 2 pc,39,ADET,KOLİ,PALET,48,1152,9.039
M00129,YUVARLAK-SIVAMA KUTU 088-071 VERNIKLI 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA4,Hediyelik,088-071,Kalıp 088-071,B2,Vernikli,P3,3 Parça,Yuvarlak-Drawn Tin 088-071 Vernikli 3 pc,76,ADET,KOLİ,PALET,24,720,3.7331
M00130,DIKDORTGEN KUTU 118-058 LITOGRAFI 2 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA4,Hediyelik,118-058,Kalıp 118-058,B1,Litografi,P2,2 Parça,Dikdortgen Tin 118-058 Litografi 2 pc,63,ADET,KOLİ,PALET,100,2000,3.033
M00131,YUVARLAK KUTU 099-084 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,099-084,Kalıp 099-084,B1,Litografi,P2,2 Parça,Yuvarlak Tin 099-084 Litografi 2 pc,89,ADET,KOLİ,PALET,60,1440,8.6036
M00132,TEPSI 268-044 MAT LAK 3 PARÇA,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,268-044,Kalıp 268-044,B4,Mat Lak,P3,3 Parça,Tepsi 268-044 Mat Lak 3 pc,49,ADET,KOLİ,PALET,48,1152,3.1335
M00133,KOSELI SIVAMA KUTU 092-056 HAM TENEKE 2 PARÇA,01,Mamul,SK10,Koseli Sivama Kutu,KA3,Kozmetik,092-056,Kalıp 092-056,B3,Ham Teneke,P2,2 Parça,Koseli Drawn Tin 092-056 Ham Teneke 2 pc,61,ADET,KOLİ,PALET,24,720,7.774
M00134,YUVARLAK KUTU 153-118 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,153-118,Kalıp 153-118,B2,Vernikli,P3,3 Parça,Yuvarlak Tin 153-118 Vernikli 3 pc,123,ADET,KOLİ,PALET,48,1440,0.9754
M00135,YUVARLAK-SIVAMA KUTU 066-048 HAM TENEKE 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA1,Gıda,066-048,Kalıp 066-048,B3,Ham Teneke,P2,2 Parça,Yuvarlak-Drawn Tin 066-048 Ham Teneke 2 pc,53,ADET,KOLİ,PALET,24,480,1.5032
M00136,KARE KUTU 168-142 VERNIKLI 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA5,Endüstriyel,168-142,Kalıp 168-142,B2,Vernikli,P2,2 Parça,Kare Tin 168-142 Vernikli 2 pc,147,ADET,KOLİ,PALET,12,360,5.9344
M00137,YUVARLAK KUTU 099-084 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,099-084,Kalıp 099-084,B3,Ham Teneke,P3,3 Parça,Yuvarlak Tin 099-084 Ham Teneke 3 pc,89,ADET,KOLİ,PALET,60,1440,9.2982
M00138,DIKDORTGEN KUTU 156-082 LITOGRAFI 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA2,Boya-Kimya,156-082,Kalıp 156-082,B1,Litografi,P3,3 Parça,Dikdortgen Tin 156-082 Litografi 3 pc,87,ADET,KOLİ,PALET,24,576,4.8396
M00139,YUVARLAK KUTU 099-084 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,099-084,Kalıp 099-084,B2,Vernikli,P2,2 Parça,Yuvarlak Tin 099-084 Vernikli 2 pc,89,ADET,KOLİ,PALET,24,576,10.0079
M00140,YUVARLAK-SIVAMA KUTU 066-048 HAM TENEKE 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA2,Boya-Kimya,066-048,Kalıp 066-048,B3,Ham Teneke,P3,3 Parça,Yuvarlak-Drawn Tin 066-048 Ham Teneke 3 pc,53,ADET,KOLİ,PALET,60,1200,4.829
M00141,ALTIGEN KUTU 096-054 MAT LAK 3 PARÇA,01,Mamul,SK06,Altıgen Kutu,KA5,Endüstriyel,096-054,Kalıp 096-054,B4,Mat Lak,P3,3 Parça,Altıgen Tin 096-054 Mat Lak 3 pc,59,ADET,KOLİ,PALET,12,240,2.8472
M00142,YUVARLAK KUTU 099-084 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,099-084,Kalıp 099-084,B2,Vernikli,P2,2 Parça,Yuvarlak Tin 099-084 Vernikli 2 pc,89,ADET,KOLİ,PALET,100,2000,11.1402
M00143,KARE KUTU 105-072 HAM TENEKE 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA3,Kozmetik,105-072,Kalıp 105-072,B3,Ham Teneke,P2,2 Parça,Kare Tin 105-072 Ham Teneke 2 pc,77,ADET,KOLİ,PALET,48,1440,1.0213
M00144,OVAL KUTU 164-092 HAM TENEKE 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA1,Gıda,164-092,Kalıp 164-092,B3,Ham Teneke,P3,3 Parça,Oval Tin 164-092 Ham Teneke 3 pc,97,ADET,KOLİ,PALET,12,240,5.1707
M00145,PLAKA-BARDAK ALTI 286-020 VERNIKLI 2 PARÇA,01,Mamul,SK16,Plaka-Bardak Alti,KA5,Endüstriyel,286-020,Kalıp 286-020,B2,Vernikli,P2,2 Parça,Plaka-Bardak Alti 286-020 Vernikli 2 pc,25,ADET,KOLİ,PALET,100,3000,4.7731
M00146,KOSELI SIVAMA KUTU 126-086 MAT LAK 3 PARÇA,01,Mamul,SK10,Koseli Sivama Kutu,KA1,Gıda,126-086,Kalıp 126-086,B4,Mat Lak,P3,3 Parça,Koseli Drawn Tin 126-086 Mat Lak 3 pc,91,ADET,KOLİ,PALET,100,3000,3.056
M00147,YUVARLAK KUTU 153-118 MAT LAK 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,153-118,Kalıp 153-118,B4,Mat Lak,P3,3 Parça,Yuvarlak Tin 153-118 Mat Lak 3 pc,123,ADET,KOLİ,PALET,100,2000,12.3965
M00148,KOSELI SIVAMA KUTU 158-114 LITOGRAFI 2 PARÇA,01,Mamul,SK10,Koseli Sivama Kutu,KA3,Kozmetik,158-114,Kalıp 158-114,B1,Litografi,P2,2 Parça,Koseli Drawn Tin 158-114 Litografi 2 pc,119,ADET,KOLİ,PALET,48,960,2.3857
M00149,YUVARLAK KUTU 153-118 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,153-118,Kalıp 153-118,B2,Vernikli,P3,3 Parça,Yuvarlak Tin 153-118 Vernikli 3 pc,123,ADET,KOLİ,PALET,60,1440,13.3472
M00150,YUVARLAK KUTU 073-062 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,073-062,Kalıp 073-062,B2,Vernikli,P2,2 Parça,Yuvarlak Tin 073-062 Vernikli 2 pc,67,ADET,KOLİ,PALET,60,1800,7.2716
M00151,SEKILLI KUTU 186-148 HAM TENEKE 3 PARÇA,01,Mamul,SK08,Sekilli Kutu,KA4,Hediyelik,186-148,Kalıp 186-148,B3,Ham Teneke,P3,3 Parça,Sekilli Tin 186-148 Ham Teneke 3 pc,153,ADET,KOLİ,PALET,24,480,12.5969
M00152,YUVARLAK KUTU 073-062 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,073-062,Kalıp 073-062,B4,Mat Lak,P2,2 Parça,Yuvarlak Tin 073-062 Mat Lak 2 pc,67,ADET,KOLİ,PALET,48,1152,3.323
M00153,YUVARLAK KUTU 073-062 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,073-062,Kalıp 073-062,B1,Litografi,P2,2 Parça,Yuvarlak Tin 073-062 Litografi 2 pc,67,ADET,KOLİ,PALET,100,2400,2.9219
M00154,YUVARLAK KUTU 153-118 LITOGRAFI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,153-118,Kalıp 153-118,B1,Litografi,P3,3 Parça,Yuvarlak Tin 153-118 Litografi 3 pc,123,ADET,KOLİ,PALET,48,1440,1.2886
M00155,YUVARLAK KUTU 099-084 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,099-084,Kalıp 099-084,B4,Mat Lak,P2,2 Parça,Yuvarlak Tin 099-084 Mat Lak 2 pc,89,ADET,KOLİ,PALET,12,360,6.1453
M00156,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,073-062,Kalıp 073-062,B2,Vernikli,P3,3 Parça,Yuvarlak Tin 073-062 Vernikli 3 pc,67,ADET,KOLİ,PALET,12,288,10.5149
M00157,DIKDORTGEN KUTU 118-058 HAM TENEKE 2 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA2,Boya-Kimya,118-058,Kalıp 118-058,B3,Ham Teneke,P2,2 Parça,Dikdortgen Tin 118-058 Ham Teneke 2 pc,63,ADET,KOLİ,PALET,100,3000,3.4418
M00158,YUVARLAK-SIVAMA KUTU 112-096 MAT LAK 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA5,Endüstriyel,112-096,Kalıp 112-096,B4,Mat Lak,P3,3 Parça,Yuvarlak-Drawn Tin 112-096 Mat Lak 3 pc,101,ADET,KOLİ,PALET,100,2000,9.0367
M00159,TEPSI 268-044 HAM TENEKE 2 PARÇA,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,268-044,Kalıp 268-044,B3,Ham Teneke,P2,2 Parça,Tepsi 268-044 Ham Teneke 2 pc,49,ADET,KOLİ,PALET,24,720,3.5329
M00160,ALTIGEN KUTU 122-078 LITOGRAFI 2 PARÇA,01,Mamul,SK06,Altıgen Kutu,KA1,Gıda,122-078,Kalıp 122-078,B1,Litografi,P2,2 Parça,Altıgen Tin 122-078 Litografi 2 pc,83,ADET,KOLİ,PALET,60,1440,3.6086
M00161,YUVARLAK-SIVAMA KUTU 088-071 VERNIKLI 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,088-071,Kalıp 088-071,B2,Vernikli,P3,3 Parça,Yuvarlak-Drawn Tin 088-071 Vernikli 3 pc,76,ADET,KOLİ,PALET,60,1440,0.8839
M00162,SEKIZGEN KUTU 102-068 HAM TENEKE 2 PARÇA,01,Mamul,SK07,Sekizgen Kutu,KA1,Gıda,102-068,Kalıp 102-068,B3,Ham Teneke,P2,2 Parça,Sekizgen Tin 102-068 Ham Teneke 2 pc,73,ADET,KOLİ,PALET,100,2400,8.7085
M00163,DIKDORTGEN KUTU 156-082 LITOGRAFI 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA6,Bal-Reçel,156-082,Kalıp 156-082,B1,Litografi,P3,3 Parça,Dikdortgen Tin 156-082 Litografi 3 pc,87,ADET,KOLİ,PALET,48,1440,3.4936
M00164,YUVARLAK-SIVAMA KUTU 088-071 MAT LAK 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA5,Endüstriyel,088-071,Kalıp 088-071,B4,Mat Lak,P3,3 Parça,Yuvarlak-Drawn Tin 088-071 Mat Lak 3 pc,76,ADET,KOLİ,PALET,48,960,10.0037
M00165,KARE KUTU 105-072 LITOGRAFI 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA2,Boya-Kimya,105-072,Kalıp 105-072,B1,Litografi,P3,3 Parça,Kare Tin 105-072 Litografi 3 pc,77,ADET,KOLİ,PALET,100,2400,12.083
M00166,KALP KUTU 134-064 MAT LAK 3 PARÇA,01,Mamul,SK09,Kalp Kutu,KA1,Gıda,134-064,Kalıp 134-064,B4,Mat Lak,P3,3 Parça,Kalp Tin 134-064 Mat Lak 3 pc,69,ADET,KOLİ,PALET,24,720,4.4042
M00167,DIKDORTGEN KUTU 156-082 VERNIKLI 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA5,Endüstriyel,156-082,Kalıp 156-082,B2,Vernikli,P3,3 Parça,Dikdortgen Tin 156-082 Vernikli 3 pc,87,ADET,KOLİ,PALET,12,240,1.1175
M00168,YUVARLAK KUTU 153-118 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,153-118,Kalıp 153-118,B3,Ham Teneke,P3,3 Parça,Yuvarlak Tin 153-118 Ham Teneke 3 pc,123,ADET,KOLİ,PALET,12,360,1.3454
M00169,ALTIGEN KUTU 096-054 MAT LAK 2 PARÇA,01,Mamul,SK06,Altıgen Kutu,KA6,Bal-Reçel,096-054,Kalıp 096-054,B4,Mat Lak,P2,2 Parça,Altıgen Tin 096-054 Mat Lak 2 pc,59,ADET,KOLİ,PALET,100,2400,6.5842
M00170,SADECE DIP 106-024 HAM TENEKE 2 PARÇA,01,Mamul,SK13,Sadece Dip,KA3,Kozmetik,106-024,Kalıp 106-024,B3,Ham Teneke,P2,2 Parça,Sadece Dip 106-024 Ham Teneke 2 pc,29,ADET,KOLİ,PALET,12,240,1.8331
M00171,OVAL KUTU 164-092 VERNIKLI 2 PARÇA,01,Mamul,SK05,Oval Kutu,KA1,Gıda,164-092,Kalıp 164-092,B2,Vernikli,P2,2 Parça,Oval Tin 164-092 Vernikli 2 pc,97,ADET,KOLİ,PALET,60,1440,4.0963
M00172,DIKDORTGEN KUTU 156-082 LITOGRAFI 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA4,Hediyelik,156-082,Kalıp 156-082,B1,Litografi,P3,3 Parça,Dikdortgen Tin 156-082 Litografi 3 pc,87,ADET,KOLİ,PALET,12,360,11.7746
M00173,YUVARLAK KUTU 099-084 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,099-084,Kalıp 099-084,B2,Vernikli,P3,3 Parça,Yuvarlak Tin 099-084 Vernikli 3 pc,89,ADET,KOLİ,PALET,48,1440,8.6627
M00174,YUVARLAK KUTU 099-084 LITOGRAFI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,099-084,Kalıp 099-084,B1,Litografi,P3,3 Parça,Yuvarlak Tin 099-084 Litografi 3 pc,89,ADET,KOLİ,PALET,100,3000,9.1876
M00175,OVAL KUTU 208-136 VERNIKLI 2 PARÇA,01,Mamul,SK05,Oval Kutu,KA2,Boya-Kimya,208-136,Kalıp 208-136,B2,Vernikli,P2,2 Parça,Oval Tin 208-136 Vernikli 2 pc,141,ADET,KOLİ,PALET,12,288,2.8081
M00176,YUVARLAK KUTU 073-062 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,073-062,Kalıp 073-062,B3,Ham Teneke,P3,3 Parça,Yuvarlak Tin 073-062 Ham Teneke 3 pc,67,ADET,KOLİ,PALET,24,720,7.3952
M00177,KARE KUTU 168-142 HAM TENEKE 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA1,Gıda,168-142,Kalıp 168-142,B3,Ham Teneke,P2,2 Parça,Kare Tin 168-142 Ham Teneke 2 pc,147,ADET,KOLİ,PALET,60,1200,10.8321
M00178,YUVARLAK-SIVAMA KUTU 112-096 VERNIKLI 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA1,Gıda,112-096,Kalıp 112-096,B2,Vernikli,P3,3 Parça,Yuvarlak-Drawn Tin 112-096 Vernikli 3 pc,101,ADET,KOLİ,PALET,48,960,1.7419
M00179,PLAKA-BARDAK ALTI 186-012 MAT LAK 2 PARÇA,01,Mamul,SK16,Plaka-Bardak Alti,KA5,Endüstriyel,186-012,Kalıp 186-012,B4,Mat Lak,P2,2 Parça,Plaka-Bardak Alti 186-012 Mat Lak 2 pc,17,ADET,KOLİ,PALET,60,1440,7.4604
