INCKEYNO,TAKIP_ID,ISEMRINO,TARIH,YIL,HAFTA,BASLANGICTARIH,BITISTARIHSAAT,DEVAM_EDIYOR,URETILENMIKTAR,FIREMIKTAR,ACIKLAMA,BRUT_SURE,MOLA,NET_SURE,AKTIVITEKODU,AKTIVITE_ADI,ARIZAKODU,ARIZA_ADI,SURE_DAHIL,HAZIRLIK,ISLEM,ARIZA,HATBOS,STDSURE_ISLEM,KONFIGURASYON_ID,STANDARTHAZIRLIK,STANDARTMIKTAR,STANDARTSURE,ADDK
3002892,901131,IE25901131,2025-12-10,2025,50,2025-12-10 09:52:00,2025-12-10 10:08:48,0,3907,105,,17.8,1,16.8,A02,ISLEM,,,E,0,16.8,0,3.2,14.3,1011,100.8,1000,18.378,286.3
3002893,901131,IE25901131,2025-12-10,2025,50,2025-12-10 10:08:48,2025-12-10 11:29:54,0,0,0,Elektrik Arızası,86,4.9,81.1,A03,DURMA,AR02,Elektrik Arızası,H,0,0,81.1,0,15.2,1011,100.8,1000,18.378,249.3
3002894,901132,IE25901132,2025-12-11,2025,50,2025-12-11 10:45:00,2025-12-11 13:04:18,0,0,0,,147.7,8.4,139.3,A01,HAZIRLIK,,,E,139.3,0,0,0,51.1,1012,125.4,1000,19.204,290.3
3002895,901132,IE25901132,2025-12-11,2025,50,2025-12-11 13:04:18,2025-12-11 13:53:42,0,3872,57,,52.4,3,49.4,A02,ISLEM,,,E,0,49.4,0,0,53.2,1012,125.4,1000,19.204,148.2
3002896,901132,IE25901132,2025-12-11,2025,50,2025-12-11 13:53:42,2025-12-11 14:31:06,0,0,0,Malzeme Bekleme,39.6,2.2,37.4,A03,DURMA,AR06,Malzeme Bekleme,H,0,0,37.4,0,40.2,1012,125.4,1000,19.204,296.4
3002897,901133,IE25901133,2025-12-12,2025,50,2025-12-12 20:15:00,2025-12-12 21:51:06,0,0,0,,101.9,5.8,96.1,A01,HAZIRLIK,,,E,96.1,0,0,0,11.4,1013,86.5,1000,19.277,184.3
3002898,901133,IE25901133,2025-12-12,2025,50,2025-12-12 21:51:06,2025-12-12 22:03:36,0,3898,1,,13.3,0.8,12.5,A02,ISLEM,,,E,0,12.5,0,16.4,10.6,1013,86.5,1000,19.277,262.8
3002899,901133,IE25901133,2025-12-12,2025,50,2025-12-12 22:03:36,2025-12-12 22:33:42,0,0,0,Kalıp Değişimi,31.9,1.8,30.1,A03,DURMA,AR01,Kalıp Değişimi,H,0,0,30.1,0,10.7,1013,86.5,1000,19.277,307.2
3002900,901134,IE25901134,2025-06-26,2025,26,2025-06-26 20:30:00,2025-06-26 22:05:30,0,0,0,,101.2,5.7,95.5,A01,HAZIRLIK,,,E,95.5,0,0,0,10,1014,86,1000,22.103,47.8
3002901,901134,IE25901134,2025-06-26,2025,26,2025-06-26 22:05:30,2025-06-26 22:16:36,0,2946,55,,11.8,0.7,11.1,A02,ISLEM,,,E,0,11.1,0,23.4,11.5,1014,86,1000,22.103,76.3
3002902,901134,IE25901134,2025-06-26,2025,26,2025-06-26 22:16:36,2025-06-26 23:02:30,0,0,0,Sac Sıkışması,48.7,2.8,45.9,A03,DURMA,AR07,Sac Sıkışması,H,0,0,45.9,0,11.6,1014,86,1000,22.103,284.2
3002903,901135,IE25901135,2025-06-27,2025,26,2025-06-27 12:45:00,2025-06-27 14:47:30,0,0,0,,129.8,7.3,122.5,A01,HAZIRLIK,,,E,122.5,0,0,0,15.6,1015,110.2,1000,24.732,76.3
3002904,901135,IE25901135,2025-06-27,2025,26,2025-06-27 14:47:30,2025-06-27 15:04:30,0,3079,41,,18,1,17,A02,ISLEM,,,E,0,17,0,19.7,14.1,1015,110.2,1000,24.732,202.9
3002905,901136,IE25901136,2025-06-28,2025,26,2025-06-28 20:15:00,2025-06-28 21:06:24,0,0,0,,54.5,3.1,51.4,A01,HAZIRLIK,,,E,51.4,0,0,0,8.6,1016,46.3,1000,20.68,278.2
3002906,901136,IE25901136,2025-06-28,2025,26,2025-06-28 21:06:24,2025-06-28 21:16:48,0,3108,59,,11,0.6,10.4,A02,ISLEM,,,E,0,10.4,0,1.3,8.4,1016,46.3,1000,20.68,84.2
3002907,901136,IE25901136,2025-06-28,2025,26,2025-06-28 21:16:48,2025-06-28 21:55:12,0,0,0,Ayar / Numune Onayı,40.7,2.3,38.4,A03,DURMA,AR05,Ayar / Numune Onayı,H,0,0,38.4,0,9.3,1016,46.3,1000,20.68,253.8
3002908,901137,IE25901137,2025-06-29,2025,26,2025-06-29 19:45:00,2025-06-29 20:46:54,0,0,0,,65.6,3.7,61.9,A01,HAZIRLIK,,,E,61.9,0,0,0,10.4,1017,55.7,1000,18.839,271
3002909,901137,IE25901137,2025-06-29,2025,26,2025-06-29 20:46:54,2025-06-29 20:57:36,0,3140,35,,11.3,0.6,10.7,A02,ISLEM,,,E,0,10.7,0,0,11.5,1017,55.7,1000,18.839,307.7
3002910,901138,IE26901138,2026-02-25,2026,9,2026-02-25 07:45:00,2026-02-25 10:09:24,0,0,0,,153.1,8.7,144.4,A01,HAZIRLIK,,,E,144.4,0,0,0,10,1018,130,1000,27.268,221
3002911,901138,IE26901138,2026-02-25,2026,9,2026-02-25 10:09:24,2026-02-25 10:20:18,0,2438,38,,11.6,0.7,10.9,A02,ISLEM,,,E,0,10.9,0,22.6,11.1,1018,130,1000,27.268,277.2
3002912,901139,IE26901139,2026-02-26,2026,9,2026-02-26 08:00:00,2026-02-26 10:22:42,0,0,0,,151.3,8.6,142.7,A01,HAZIRLIK,,,E,142.7,0,0,0,11.5,1019,128.4,1000,20.683,209.1
3002913,901139,IE26901139,2026-02-26,2026,9,2026-02-26 10:22:42,2026-02-26 10:36:12,0,2437,66,,14.3,0.8,13.5,A02,ISLEM,,,E,0,13.5,0,7.9,11,1019,128.4,1000,20.683,312.1
3002914,901139,IE26901139,2026-02-26,2026,9,2026-02-26 10:36:12,2026-02-26 11:24:48,0,0,0,Ayar / Numune Onayı,51.5,2.9,48.6,A03,DURMA,AR05,Ayar / Numune Onayı,H,0,0,48.6,0,14.2,1019,128.4,1000,20.683,147.3
3002915,901140,IE26901140,2026-02-27,2026,9,2026-02-27 18:00:00,2026-02-27 19:00:48,0,0,0,,64.4,3.6,60.8,A01,HAZIRLIK,,,E,60.8,0,0,0,9.5,1020,54.7,1000,26.706,97.7
3002916,901140,IE26901140,2026-02-27,2026,9,2026-02-27 19:00:48,2026-02-27 19:10:36,0,2336,86,,10.4,0.6,9.8,A02,ISLEM,,,E,0,9.8,0,2.9,9.8,1020,54.7,1000,26.706,60.3
3002917,901141,IE26901141,2026-02-28,2026,9,2026-02-28 10:00:00,2026-02-28 10:22:18,0,0,0,,23.6,1.3,22.3,A01,HAZIRLIK,,,E,22.3,0,0,0,10.8,1021,20.1,1000,23.255,110.6
3002918,901141,IE26901141,2026-02-28,2026,9,2026-02-28 10:22:18,2026-02-28 10:33:06,0,2376,63,,11.4,0.6,10.8,A02,ISLEM,,,E,0,10.8,0,5.5,11.6,1021,20.1,1000,23.255,172.7
3002919,901142,IE26901142,2026-07-15,2026,29,2026-07-15 20:00:00,2026-07-15 20:59:06,0,0,0,,62.6,3.5,59.1,A01,HAZIRLIK,,,E,59.1,0,0,0,47.1,1022,53.2,1000,6.537,61.1
3002920,901142,IE26901142,2026-07-15,2026,29,2026-07-15 20:59:06,2026-07-15 21:49:00,0,7451,42,,52.9,3,49.9,A02,ISLEM,,,E,0,49.9,0,2.6,47.7,1022,53.2,1000,6.537,216.7
3002921,901142,IE26901142,2026-07-15,2026,29,2026-07-15 21:49:00,2026-07-15 22:20:24,0,0,0,Mekanik Arıza,33.3,1.9,31.4,A03,DURMA,AR03,Mekanik Arıza,H,0,0,31.4,0,41.1,1022,53.2,1000,6.537,194.5
3002922,901143,IE26901143,2026-07-16,2026,29,2026-07-16 09:45:00,2026-07-16 10:15:30,0,0,0,,32.3,1.8,30.5,A01,HAZIRLIK,,,E,30.5,0,0,0,27.1,1023,27.4,1000,7.816,141.9
3002923,901143,IE26901143,2026-07-16,2026,29,2026-07-16 10:15:30,2026-07-16 10:46:06,0,7535,11,,32.4,1.8,30.6,A02,ISLEM,,,E,0,30.6,0,0,27.6,1023,27.4,1000,7.816,142.1
3002924,901143,IE26901143,2026-07-16,2026,29,2026-07-16 10:46:06,2026-07-16 11:29:00,0,0,0,Kalıp Değişimi,45.5,2.6,42.9,A03,DURMA,AR01,Kalıp Değişimi,H,0,0,42.9,0,26.3,1023,27.4,1000,7.816,208.6
3002925,901144,IE26901144,2026-07-17,2026,29,2026-07-17 09:00:00,2026-07-17 10:15:54,0,0,0,,80.5,4.6,75.9,A01,HAZIRLIK,,,E,75.9,0,0,0,42,1024,68.3,1000,7.304,95.4
3002926,901144,IE26901144,2026-07-17,2026,29,2026-07-17 10:15:54,2026-07-17 11:01:18,0,7209,107,,48.1,2.7,45.4,A02,ISLEM,,,E,0,45.4,0,27.7,37.1,1024,68.3,1000,7.304,317.7
3002927,901145,IE26901145,2026-01-08,2026,2,2026-01-08 12:00:00,2026-01-08 12:51:18,0,0,0,,54.4,3.1,51.3,A01,HAZIRLIK,,,E,51.3,0,0,0,34.2,1025,46.2,1000,7.176,80.5
3002928,901145,IE26901145,2026-01-08,2026,2,2026-01-08 12:51:18,2026-01-08 13:24:18,0,9750,243,,35,2,33,A02,ISLEM,,,E,0,33,0,24.5,34.4,1025,46.2,1000,7.176,319.5
3002929,901145,IE26901145,2026-01-08,2026,2,2026-01-08 13:24:18,2026-01-08 14:28:18,0,0,0,Ayar / Numune Onayı,67.8,3.8,64,A03,DURMA,AR05,Ayar / Numune Onayı,H,0,0,64,0,30.7,1025,46.2,1000,7.176,271.2
3002930,901146,IE26901146,2026-01-09,2026,2,2026-01-09 15:00:00,2026-01-09 15:48:54,0,0,0,,51.8,2.9,48.9,A01,HAZIRLIK,,,E,48.9,0,0,0,106.8,1026,44,1000,6.602,114.5
3002931,901146,IE26901146,2026-01-09,2026,2,2026-01-09 15:48:54,2026-01-09 17:27:06,0,9769,212,,104.1,5.9,98.2,A02,ISLEM,,,E,0,98.2,0,22.7,79.3,1026,44,1000,6.602,89.3
3002932,901146,IE26901146,2026-01-09,2026,2,2026-01-09 17:27:06,2026-01-09 18:10:06,0,0,0,Personel Yetersizliği,45.6,2.6,43,A03,DURMA,AR12,Personel Yetersizliği,H,0,0,43,0,95.3,1026,44,1000,6.602,288
3002933,901147,IE26901147,2026-01-10,2026,2,2026-01-10 18:15:00,2026-01-10 19:37:54,0,0,0,,87.9,5,82.9,A01,HAZIRLIK,,,E,82.9,0,0,0,52.5,1027,74.6,1000,6.855,86.9
3002934,901147,IE26901147,2026-01-10,2026,2,2026-01-10 19:37:54,2026-01-10 20:29:18,0,9391,242,,54.5,3.1,51.4,A02,ISLEM,,,E,0,51.4,0,15.7,53.2,1027,74.6,1000,6.855,123.8
3002935,901147,IE26901147,2026-01-10,2026,2,2026-01-10 20:29:18,2026-01-10 22:01:18,0,0,0,Mekanik Arıza,97.5,5.5,92,A03,DURMA,AR03,Mekanik Arıza,H,0,0,92,0,46.2,1027,74.6,1000,6.855,193.7
3002936,901148,IE26901148,2026-01-11,2026,2,2026-01-11 08:30:00,2026-01-11 10:44:30,0,0,0,,142.6,8.1,134.5,A01,HAZIRLIK,,,E,134.5,0,0,0,34.6,1028,121,1000,7.794,130.7
3002937,901148,IE26901148,2026-01-11,2026,2,2026-01-11 10:44:30,2026-01-11 11:26:54,0,9769,198,,44.9,2.5,42.4,A02,ISLEM,,,E,0,42.4,0,0,34.3,1028,121,1000,7.794,268.2
3002938,901148,IE26901148,2026-01-11,2026,2,2026-01-11 11:26:54,2026-01-11 12:01:48,0,0,0,Mekanik Arıza,37,2.1,34.9,A03,DURMA,AR03,Mekanik Arıza,H,0,0,34.9,0,42.9,1028,121,1000,7.794,216.9
3002939,901149,IE25901149,2025-07-14,2025,29,2025-07-14 15:30:00,2025-07-14 17:44:48,0,0,0,,142.9,8.1,134.8,A01,HAZIRLIK,,,E,134.8,0,0,0,1.6,1029,121.3,1000,124.521,127.5
3002940,901149,IE25901149,2025-07-14,2025,29,2025-07-14 17:44:48,2025-07-14 17:46:18,0,142,8,,1.6,0.1,1.5,A02,ISLEM,,,E,0,1.5,0,0,1.3,1029,121.3,1000,124.521,317.7
3002941,901149,IE25901149,2025-07-14,2025,29,2025-07-14 17:46:18,2025-07-14 17:55:00,0,0,0,Ayar / Numune Onayı,9.2,0.5,8.7,A03,DURMA,AR05,Ayar / Numune Onayı,H,0,0,8.7,0,1.3,1029,121.3,1000,124.521,188.3
3002942,901150,IE25901150,2025-07-15,2025,29,2025-07-15 15:30:00,2025-07-15 17:28:12,0,0,0,,125.3,7.1,118.2,A01,HAZIRLIK,,,E,118.2,0,0,0,1.1,1030,106.4,1000,132.848,290.7
3002943,901150,IE25901150,2025-07-15,2025,29,2025-07-15 17:28:12,2025-07-15 17:29:30,0,143,4,,1.4,0.1,1.3,A02,ISLEM,,,E,0,1.3,0,5.5,1.4,1030,106.4,1000,132.848,247.8
3002944,901150,IE25901150,2025-07-15,2025,29,2025-07-15 17:29:30,2025-07-15 18:06:12,0,0,0,Vardiya Devri,38.9,2.2,36.7,A03,DURMA,AR09,Vardiya Devri,H,0,0,36.7,0,1.3,1030,106.4,1000,132.848,265.9
3002945,901151,IE25901151,2025-07-16,2025,29,2025-07-16 10:30:00,2025-07-16 10:56:36,0,0,0,,28.2,1.6,26.6,A01,HAZIRLIK,,,E,26.6,0,0,0,0.5,1031,23.9,1000,178.881,287.5
3002946,901151,IE25901151,2025-07-16,2025,29,2025-07-16 10:56:36,2025-07-16 10:57:12,0,147,1,,0.6,0,0.6,A02,ISLEM,,,E,0,0.6,0,11.7,0.5,1031,23.9,1000,178.881,205.5
3002947,901151,IE25901151,2025-07-16,2025,29,2025-07-16 10:57:12,2025-07-16 12:22:36,0,0,0,Mekanik Arıza,90.5,5.1,85.4,A03,DURMA,AR03,Mekanik Arıza,H,0,0,85.4,0,0.6,1031,23.9,1000,178.881,111.9
3002948,901152,IE25901152,2025-07-17,2025,29,2025-07-17 14:45:00,2025-07-17 16:41:24,0,0,0,,123.4,7,116.4,A01,HAZIRLIK,,,E,116.4,0,0,0,1.2,1032,104.8,1000,155.705,267
3002949,901152,IE25901152,2025-07-17,2025,29,2025-07-17 16:41:24,2025-07-17 16:42:42,0,146,4,,1.4,0.1,1.3,A02,ISLEM,,,E,0,1.3,0,11.1,1.1,1032,104.8,1000,155.705,221
3002950,901152,IE25901152,2025-07-17,2025,29,2025-07-17 16:42:42,2025-07-17 17:13:48,0,0,0,Planlı Bakım,33,1.9,31.1,A03,DURMA,AR08,Planlı Bakım,H,0,0,31.1,0,1.4,1032,104.8,1000,155.705,335
3002951,901157,IE26901157,2026-03-01,2026,9,2026-03-01 10:45:00,2026-03-01 13:07:06,0,0,0,,150.6,8.5,142.1,A01,HAZIRLIK,,,E,142.1,0,0,0,9.1,1037,127.9,1000,22.047,254.9
3002952,901157,IE26901157,2026-03-01,2026,9,2026-03-01 13:07:06,2026-03-01 13:17:12,0,3104,7,,10.7,0.6,10.1,A02,ISLEM,,,E,0,10.1,0,4,9.6,1037,127.9,1000,22.047,335.2
3002953,901157,IE26901157,2026-03-01,2026,9,2026-03-01 13:17:12,2026-03-01 14:13:54,0,0,0,Ayar / Numune Onayı,60.1,3.4,56.7,A03,DURMA,AR05,Ayar / Numune Onayı,H,0,0,56.7,0,9,1037,127.9,1000,22.047,252.3
3002954,901158,IE26901158,2026-03-02,2026,10,2026-03-02 09:45:00,2026-03-02 10:07:30,0,0,0,,23.8,1.3,22.5,A01,HAZIRLIK,,,E,22.5,0,0,0,14.1,1038,20.2,1000,20.69,52
3002955,901158,IE26901158,2026-03-02,2026,10,2026-03-02 10:07:30,2026-03-02 10:21:24,0,3053,58,,14.7,0.8,13.9,A02,ISLEM,,,E,0,13.9,0,14.7,14.7,1038,20.2,1000,20.69,72.7
3002956,901158,IE26901158,2026-03-02,2026,10,2026-03-02 10:21:24,2026-03-02 11:08:42,0,0,0,Kalıp Değişimi,50.1,2.8,47.3,A03,DURMA,AR01,Kalıp Değişimi,H,0,0,47.3,0,11.1,1038,20.2,1000,20.69,166.6
3002957,901159,IE26901159,2026-03-03,2026,10,2026-03-03 08:45:00,2026-03-03 09:34:12,0,0,0,,52.2,3,49.2,A01,HAZIRLIK,,,E,49.2,0,0,0,20.5,1039,44.3,1000,20.481,95.4
3002958,901159,IE26901159,2026-03-03,2026,10,2026-03-03 09:34:12,2026-03-03 09:59:24,0,3074,26,,26.7,1.5,25.2,A02,ISLEM,,,E,0,25.2,0,0,23.5,1039,44.3,1000,20.481,101
3002959,901159,IE26901159,2026-03-03,2026,10,2026-03-03 09:59:24,2026-03-03 10:11:42,0,0,0,Elektrik Arızası,13,0.7,12.3,A03,DURMA,AR02,Elektrik Arızası,H,0,0,12.3,0,20.2,1039,44.3,1000,20.481,50.4
3002960,901160,IE26901160,2026-04-20,2026,17,2026-04-20 11:45:00,2026-04-20 13:36:54,0,0,0,,118.6,6.7,111.9,A01,HAZIRLIK,,,E,111.9,0,0,0,3.4,1000,100.7,1000,96.256,112.6
3002961,901160,IE26901160,2026-04-20,2026,17,2026-04-20 13:36:54,2026-04-20 13:40:30,0,621,6,,3.8,0.2,3.6,A02,ISLEM,,,E,0,3.6,0,12,3.7,1000,100.7,1000,96.256,201.4
3002962,901161,IE26901161,2026-04-21,2026,17,2026-04-21 12:00:00,2026-04-21 14:02:36,0,0,0,,130,7.4,122.6,A01,HAZIRLIK,,,E,122.6,0,0,0,3.6,1001,110.3,1000,98.377,243.4
3002963,901161,IE26901161,2026-04-21,2026,17,2026-04-21 14:02:36,2026-04-21 14:06:48,0,580,26,,4.5,0.3,4.2,A02,ISLEM,,,E,0,4.2,0,0,4.6,1001,110.3,1000,98.377,214.3
3002964,901161,IE26901161,2026-04-21,2026,17,2026-04-21 14:06:48,2026-04-21 14:41:06,0,0,0,Ayar / Numune Onayı,36.4,2.1,34.3,A03,DURMA,AR05,Ayar / Numune Onayı,H,0,0,34.3,0,4.1,1001,110.3,1000,98.377,75.3
3002965,901162,IE26901162,2026-04-22,2026,17,2026-04-22 15:30:00,2026-04-22 17:46:36,0,0,0,,144.8,8.2,136.6,A01,HAZIRLIK,,,E,136.6,0,0,0,2.9,1002,122.9,1000,86.78,193.9
3002966,901162,IE26901162,2026-04-22,2026,17,2026-04-22 17:46:36,2026-04-22 17:49:18,0,609,8,,2.9,0.2,2.7,A02,ISLEM,,,E,0,2.7,0,0,2.6,1002,122.9,1000,86.78,113.2
3002967,901162,IE26901162,2026-04-22,2026,17,2026-04-22 17:49:18,2026-04-22 18:35:54,0,0,0,Kalıp Değişimi,49.4,2.8,46.6,A03,DURMA,AR01,Kalıp Değişimi,H,0,0,46.6,0,2.5,1002,122.9,1000,86.78,207.2
3002968,901163,IE26901163,2026-04-23,2026,17,2026-04-23 15:15:00,2026-04-23 17:16:06,0,0,0,,128.4,7.3,121.1,A01,HAZIRLIK,,,E,121.1,0,0,0,8,1003,109,1000,113.912,288.7
3002969,901163,IE26901163,2026-04-23,2026,17,2026-04-23 17:16:06,2026-04-23 17:24:18,0,594,33,,8.7,0.5,8.2,A02,ISLEM,,,E,0,8.2,0,29,8,1003,109,1000,113.912,116.7
3002970,901163,IE26901163,2026-04-23,2026,17,2026-04-23 17:24:18,2026-04-23 18:18:48,0,0,0,Kalite Duruşu,57.8,3.3,54.5,A03,DURMA,AR11,Kalite Duruşu,H,0,0,54.5,0,7.6,1003,109,1000,113.912,85.1
3002971,901164,IE26901164,2026-03-13,2026,11,2026-03-13 12:30:00,2026-03-13 13:41:12,0,0,0,,75.5,4.3,71.2,A01,HAZIRLIK,,,E,71.2,0,0,0,10.4,1004,64.1,1000,49.095,213.3
3002972,901164,IE26901164,2026-03-13,2026,11,2026-03-13 13:41:12,2026-03-13 13:52:12,0,971,11,,11.7,0.7,11,A02,ISLEM,,,E,0,11,0,0,10.9,1004,64.1,1000,49.095,89
3002973,901164,IE26901164,2026-03-13,2026,11,2026-03-13 13:52:12,2026-03-13 14:29:36,0,0,0,Kalite Duruşu,39.6,2.2,37.4,A03,DURMA,AR11,Kalite Duruşu,H,0,0,37.4,0,9.6,1004,64.1,1000,49.095,200
3002974,901165,IE26901165,2026-03-14,2026,11,2026-03-14 12:30:00,2026-03-14 13:52:30,0,0,0,,87.5,5,82.5,A01,HAZIRLIK,,,E,82.5,0,0,0,3.9,1005,74.2,1000,50.943,251.1
3002975,901165,IE26901165,2026-03-14,2026,11,2026-03-14 13:52:30,2026-03-14 13:56:18,0,977,11,,4,0.2,3.8,A02,ISLEM,,,E,0,3.8,0,0,3.1,1005,74.2,1000,50.943,165.9
3002976,901166,IE26901166,2026-03-15,2026,11,2026-03-15 17:45:00,2026-03-15 19:24:24,0,0,0,,105.4,6,99.4,A01,HAZIRLIK,,,E,99.4,0,0,0,3.4,1006,89.5,1000,55.007,311.3
3002977,901166,IE26901166,2026-03-15,2026,11,2026-03-15 19:24:24,2026-03-15 19:28:30,0,986,12,,4.3,0.2,4.1,A02,ISLEM,,,E,0,4.1,0,15.1,3.7,1006,89.5,1000,55.007,200.3
3002978,901166,IE26901166,2026-03-15,2026,11,2026-03-15 19:28:30,2026-03-15 19:45:48,0,0,0,Ayar / Numune Onayı,18.3,1,17.3,A03,DURMA,AR05,Ayar / Numune Onayı,H,0,0,17.3,0,3.8,1006,89.5,1000,55.007,185.2
3002979,901167,IE26901167,2026-03-16,2026,12,2026-03-16 09:45:00,2026-03-16 10:53:12,0,0,0,,72.3,4.1,68.2,A01,HAZIRLIK,,,E,68.2,0,0,0,8.3,1007,61.4,1000,71.097,179.4
3002980,901167,IE26901167,2026-03-16,2026,12,2026-03-16 10:53:12,2026-03-16 11:00:48,0,926,67,,8.1,0.5,7.6,A02,ISLEM,,,E,0,7.6,0,15.3,8,1007,61.4,1000,71.097,188.1
3002981,901167,IE26901167,2026-03-16,2026,12,2026-03-16 11:00:48,2026-03-16 11:43:42,0,0,0,Malzeme Bekleme,45.5,2.6,42.9,A03,DURMA,AR06,Malzeme Bekleme,H,0,0,42.9,0,7,1007,61.4,1000,71.097,276.5
3002982,901168,IE26901168,2026-04-07,2026,15,2026-04-07 17:30:00,2026-04-07 19:07:18,0,0,0,,103.1,5.8,97.3,A01,HAZIRLIK,,,E,97.3,0,0,0,1.5,1008,87.6,1000,188.145,334.2
3002983,901168,IE26901168,2026-04-07,2026,15,2026-04-07 19:07:18,2026-04-07 19:08:48,0,364,5,,1.6,0.1,1.5,A02,ISLEM,,,E,0,1.5,0,7.5,1.4,1008,87.6,1000,188.145,230.1
3002984,901169,IE26901169,2026-04-08,2026,15,2026-04-08 12:00:00,2026-04-08 13:05:18,0,0,0,,69.2,3.9,65.3,A01,HAZIRLIK,,,E,65.3,0,0,0,1.9,1009,58.8,1000,168.041,105.8
3002985,901169,IE26901169,2026-04-08,2026,15,2026-04-08 13:05:18,2026-04-08 13:07:06,0,373,1,,1.9,0.1,1.8,A02,ISLEM,,,E,0,1.8,0,25.9,1.9,1009,58.8,1000,168.041,293.3
3002986,901169,IE26901169,2026-04-08,2026,15,2026-04-08 13:07:06,2026-04-08 13:59:30,0,0,0,Malzeme Bekleme,55.5,3.1,52.4,A03,DURMA,AR06,Malzeme Bekleme,H,0,0,52.4,0,1.6,1009,58.8,1000,168.041,45.2
3002987,901170,IE26901170,2026-04-09,2026,15,2026-04-09 07:15:00,2026-04-09 08:22:00,0,0,0,,71,4,67,A01,HAZIRLIK,,,E,67,0,0,0,1.4,1010,60.3,1000,162.396,51.4
3002988,901170,IE26901170,2026-04-09,2026,15,2026-04-09 08:22:00,2026-04-09 08:23:18,0,360,12,,1.4,0.1,1.3,A02,ISLEM,,,E,0,1.3,0,4.5,1.3,1010,60.3,1000,162.396,274.9
3002989,901170,IE26901170,2026-04-09,2026,15,2026-04-09 08:23:18,2026-04-09 09:02:48,0,0,0,Hidrolik Kaçak,41.9,2.4,39.5,A03,DURMA,AR04,Hidrolik Kaçak,H,0,0,39.5,0,1.2,1010,60.3,1000,162.396,107.1
3002990,901171,IE26901171,2026-04-10,2026,15,2026-04-10 19:00:00,2026-04-10 19:59:24,0,0,0,,63,3.6,59.4,A01,HAZIRLIK,,,E,59.4,0,0,0,3.1,1011,53.5,1000,142.436,289
3002991,901171,IE26901171,2026-04-10,2026,15,2026-04-10 19:59:24,2026-04-10 20:02:18,0,369,8,,3.1,0.2,2.9,A02,ISLEM,,,E,0,2.9,0,17.6,3.1,1011,53.5,1000,142.436,91.1
3002992,901171,IE26901171,2026-04-10,2026,15,2026-04-10 20:02:18,2026-04-10 20:07:36,0,0,0,Mekanik Arıza,5.6,0.3,5.3,A03,DURMA,AR03,Mekanik Arıza,H,0,0,5.3,0,3.2,1011,53.5,1000,142.436,57.6
3002993,901172,IE25901172,2025-07-16,2025,29,2025-07-16 15:00:00,2025-07-16 16:48:00,0,0,0,,114.5,6.5,108,A01,HAZIRLIK,,,E,108,0,0,0,0.3,1012,97.2,1000,161.75,290.7
3002994,901172,IE25901172,2025-07-16,2025,29,2025-07-16 16:48:00,2025-07-16 16:48:18,0,73,0,,0.3,0,0.3,A02,ISLEM,,,E,0,0.3,0,0,0.3,1012,97.2,1000,161.75,145.3
3002995,901172,IE25901172,2025-07-16,2025,29,2025-07-16 16:48:18,2025-07-16 16:59:54,0,0,0,Vardiya Devri,12.3,0.7,11.6,A03,DURMA,AR09,Vardiya Devri,H,0,0,11.6,0,0.3,1012,97.2,1000,161.75,40.5
3002996,901173,IE25901173,2025-07-17,2025,29,2025-07-17 10:15:00,2025-07-17 11:06:54,0,0,0,,55,3.1,51.9,A01,HAZIRLIK,,,E,51.9,0,0,0,0.3,1013,46.7,1000,151.998,147
3002997,901173,IE25901173,2025-07-17,2025,29,2025-07-17 11:06:54,2025-07-17 11:07:12,0,74,1,,0.3,0,0.3,A02,ISLEM,,,E,0,0.3,0,0,0.2,1013,46.7,1000,151.998,124.2
3002998,901174,IE25901174,2025-07-18,2025,29,2025-07-18 15:45:00,2025-07-18 17:46:12,0,0,0,,128.5,7.3,121.2,A01,HAZIRLIK,,,E,121.2,0,0,0,0.4,1014,109.1,1000,164.932,337.7
3002999,901174,IE25901174,2025-07-18,2025,29,2025-07-18 17:46:12,2025-07-18 17:46:36,0,74,2,,0.4,0,0.4,A02,ISLEM,,,E,0,0.4,0,19.5,0.4,1014,109.1,1000,164.932,193.5
3003000,901174,IE25901174,2025-07-18,2025,29,2025-07-18 17:46:36,2025-07-18 18:45:24,0,0,0,Elektrik Arızası,62.3,3.5,58.8,A03,DURMA,AR02,Elektrik Arızası,H,0,0,58.8,0,0.4,1014,109.1,1000,164.932,281.2
3003001,901175,IE25901175,2025-10-18,2025,42,2025-10-18 06:00:00,2025-10-18 07:49:24,0,0,0,,116,6.6,109.4,A01,HAZIRLIK,,,E,109.4,0,0,0,3.4,1015,98.5,1000,59.701,86.6
3003002,901175,IE25901175,2025-10-18,2025,42,2025-10-18 07:49:24,2025-10-18 07:53:24,0,965,20,,4.2,0.2,4,A02,ISLEM,,,E,0,4,0,10.8,3.4,1015,98.5,1000,59.701,248.5
3003003,901175,IE25901175,2025-10-18,2025,42,2025-10-18 07:53:24,2025-10-18 08:31:18,0,0,0,Vardiya Devri,40.2,2.3,37.9,A03,DURMA,AR09,Vardiya Devri,H,0,0,37.9,0,4.3,1015,98.5,1000,59.701,279.7
3003004,901176,IE25901176,2025-10-19,2025,42,2025-10-19 15:15:00,2025-10-19 16:44:18,0,0,0,,94.7,5.4,89.3,A01,HAZIRLIK,,,E,89.3,0,0,0,9.7,1016,80.4,1000,71.584,332.7
