STOK_KODU,STOK_ADI,GRUP_KODU,GRUP_ADI,KOD_1,AD1,KOD_2,AD2,KOD_3,AD3,KOD_4,AD4,KOD_5,AD5
M00137,YUVARLAK KUTU 099-084 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,099-084,Kalıp 099-084,B3,Ham Teneke,P3,3 Parça
M00138,DIKDORTGEN KUTU 156-082 LITOGRAFI 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA2,Boya-Kimya,156-082,Kalıp 156-082,B1,Litografi,P3,3 Parça
M00139,YUVARLAK KUTU 099-084 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,099-084,Kalıp 099-084,B2,Vernikli,P2,2 Parça
M00140,YUVARLAK-SIVAMA KUTU 066-048 HAM TENEKE 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA2,Boya-Kimya,066-048,Kalıp 066-048,B3,Ham Teneke,P3,3 Parça
M00141,ALTIGEN KUTU 096-054 MAT LAK 3 PARÇA,01,Mamul,SK06,Altıgen Kutu,KA5,Endüstriyel,096-054,Kalıp 096-054,B4,Mat Lak,P3,3 Parça
M00142,YUVARLAK KUTU 099-084 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,099-084,Kalıp 099-084,B2,Vernikli,P2,2 Parça
M00143,KARE KUTU 105-072 HAM TENEKE 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA3,Kozmetik,105-072,Kalıp 105-072,B3,Ham Teneke,P2,2 Parça
M00144,OVAL KUTU 164-092 HAM TENEKE 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA1,Gıda,164-092,Kalıp 164-092,B3,Ham Teneke,P3,3 Parça
M00145,PLAKA-BARDAK ALTI 286-020 VERNIKLI 2 PARÇA,01,Mamul,SK16,Plaka-Bardak Alti,KA5,Endüstriyel,286-020,Kalıp 286-020,B2,Vernikli,P2,2 Parça
M00146,KOSELI SIVAMA KUTU 126-086 MAT LAK 3 PARÇA,01,Mamul,SK10,Koseli Sivama Kutu,KA1,Gıda,126-086,Kalıp 126-086,B4,Mat Lak,P3,3 Parça
M00147,YUVARLAK KUTU 153-118 MAT LAK 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,153-118,Kalıp 153-118,B4,Mat Lak,P3,3 Parça
M00148,KOSELI SIVAMA KUTU 158-114 LITOGRAFI 2 PARÇA,01,Mamul,SK10,Koseli Sivama Kutu,KA3,Kozmetik,158-114,Kalıp 158-114,B1,Litografi,P2,2 Parça
M00149,YUVARLAK KUTU 153-118 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,153-118,Kalıp 153-118,B2,Vernikli,P3,3 Parça
M00150,YUVARLAK KUTU 073-062 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,073-062,Kalıp 073-062,B2,Vernikli,P2,2 Parça
M00151,SEKILLI KUTU 186-148 HAM TENEKE 3 PARÇA,01,Mamul,SK08,Sekilli Kutu,KA4,Hediyelik,186-148,Kalıp 186-148,B3,Ham Teneke,P3,3 Parça
M00152,YUVARLAK KUTU 073-062 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,073-062,Kalıp 073-062,B4,Mat Lak,P2,2 Parça
M00153,YUVARLAK KUTU 073-062 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,073-062,Kalıp 073-062,B1,Litografi,P2,2 Parça
M00154,YUVARLAK KUTU 153-118 LITOGRAFI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,153-118,Kalıp 153-118,B1,Litografi,P3,3 Parça
M00155,YUVARLAK KUTU 099-084 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,099-084,Kalıp 099-084,B4,Mat Lak,P2,2 Parça
M00156,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,073-062,Kalıp 073-062,B2,Vernikli,P3,3 Parça
M00157,DIKDORTGEN KUTU 118-058 HAM TENEKE 2 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA2,Boya-Kimya,118-058,Kalıp 118-058,B3,Ham Teneke,P2,2 Parça
M00158,YUVARLAK-SIVAMA KUTU 112-096 MAT LAK 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA5,Endüstriyel,112-096,Kalıp 112-096,B4,Mat Lak,P3,3 Parça
M00159,TEPSI 268-044 HAM TENEKE 2 PARÇA,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,268-044,Kalıp 268-044,B3,Ham Teneke,P2,2 Parça
M00160,ALTIGEN KUTU 122-078 LITOGRAFI 2 PARÇA,01,Mamul,SK06,Altıgen Kutu,KA1,Gıda,122-078,Kalıp 122-078,B1,Litografi,P2,2 Parça
M00161,YUVARLAK-SIVAMA KUTU 088-071 VERNIKLI 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,088-071,Kalıp 088-071,B2,Vernikli,P3,3 Parça
M00162,SEKIZGEN KUTU 102-068 HAM TENEKE 2 PARÇA,01,Mamul,SK07,Sekizgen Kutu,KA1,Gıda,102-068,Kalıp 102-068,B3,Ham Teneke,P2,2 Parça
M00163,DIKDORTGEN KUTU 156-082 LITOGRAFI 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA6,Bal-Reçel,156-082,Kalıp 156-082,B1,Litografi,P3,3 Parça
M00164,YUVARLAK-SIVAMA KUTU 088-071 MAT LAK 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA5,Endüstriyel,088-071,Kalıp 088-071,B4,Mat Lak,P3,3 Parça
M00165,KARE KUTU 105-072 LITOGRAFI 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA2,Boya-Kimya,105-072,Kalıp 105-072,B1,Litografi,P3,3 Parça
M00166,KALP KUTU 134-064 MAT LAK 3 PARÇA,01,Mamul,SK09,Kalp Kutu,KA1,Gıda,134-064,Kalıp 134-064,B4,Mat Lak,P3,3 Parça
M00167,DIKDORTGEN KUTU 156-082 VERNIKLI 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA5,Endüstriyel,156-082,Kalıp 156-082,B2,Vernikli,P3,3 Parça
M00168,YUVARLAK KUTU 153-118 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,153-118,Kalıp 153-118,B3,Ham Teneke,P3,3 Parça
M00169,ALTIGEN KUTU 096-054 MAT LAK 2 PARÇA,01,Mamul,SK06,Altıgen Kutu,KA6,Bal-Reçel,096-054,Kalıp 096-054,B4,Mat Lak,P2,2 Parça
M00170,SADECE DIP 106-024 HAM TENEKE 2 PARÇA,01,Mamul,SK13,Sadece Dip,KA3,Kozmetik,106-024,Kalıp 106-024,B3,Ham Teneke,P2,2 Parça
M00171,OVAL KUTU 164-092 VERNIKLI 2 PARÇA,01,Mamul,SK05,Oval Kutu,KA1,Gıda,164-092,Kalıp 164-092,B2,Vernikli,P2,2 Parça
M00172,DIKDORTGEN KUTU 156-082 LITOGRAFI 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA4,Hediyelik,156-082,Kalıp 156-082,B1,Litografi,P3,3 Parça
M00173,YUVARLAK KUTU 099-084 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,099-084,Kalıp 099-084,B2,Vernikli,P3,3 Parça
M00174,YUVARLAK KUTU 099-084 LITOGRAFI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,099-084,Kalıp 099-084,B1,Litografi,P3,3 Parça
M00175,OVAL KUTU 208-136 VERNIKLI 2 PARÇA,01,Mamul,SK05,Oval Kutu,KA2,Boya-Kimya,208-136,Kalıp 208-136,B2,Vernikli,P2,2 Parça
M00176,YUVARLAK KUTU 073-062 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,073-062,Kalıp 073-062,B3,Ham Teneke,P3,3 Parça
M00177,KARE KUTU 168-142 HAM TENEKE 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA1,Gıda,168-142,Kalıp 168-142,B3,Ham Teneke,P2,2 Parça
M00178,YUVARLAK-SIVAMA KUTU 112-096 VERNIKLI 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA1,Gıda,112-096,Kalıp 112-096,B2,Vernikli,P3,3 Parça
M00179,PLAKA-BARDAK ALTI 186-012 MAT LAK 2 PARÇA,01,Mamul,SK16,Plaka-Bardak Alti,KA5,Endüstriyel,186-012,Kalıp 186-012,B4,Mat Lak,P2,2 Parça
M00180,YUVARLAK KUTU 153-118 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,153-118,Kalıp 153-118,B2,Vernikli,P3,3 Parça
M00181,OVAL KUTU 128-066 VERNIKLI 2 PARÇA,01,Mamul,SK05,Oval Kutu,KA1,Gıda,128-066,Kalıp 128-066,B2,Vernikli,P2,2 Parça
M00182,YUVARLAK KUTU 153-118 HAM TENEKE 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,153-118,Kalıp 153-118,B3,Ham Teneke,P2,2 Parça
M00183,YUVARLAK KUTU 073-062 LITOGRAFI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,073-062,Kalıp 073-062,B1,Litografi,P3,3 Parça
M00184,YUVARLAK KUTU 073-062 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,073-062,Kalıp 073-062,B4,Mat Lak,P2,2 Parça
M00185,KARE KUTU 105-072 HAM TENEKE 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA4,Hediyelik,105-072,Kalıp 105-072,B3,Ham Teneke,P2,2 Parça
M00186,YUVARLAK-SIVAMA KUTU 066-048 MAT LAK 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA4,Hediyelik,066-048,Kalıp 066-048,B4,Mat Lak,P2,2 Parça
M00187,YUVARLAK KUTU 099-084 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,099-084,Kalıp 099-084,B4,Mat Lak,P2,2 Parça
M00188,YUVARLAK KUTU 153-118 LITOGRAFI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,153-118,Kalıp 153-118,B1,Litografi,P3,3 Parça
M00189,YUVARLAK KUTU 153-118 LITOGRAFI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,153-118,Kalıp 153-118,B1,Litografi,P3,3 Parça
M00190,KALP KUTU 172-088 HAM TENEKE 3 PARÇA,01,Mamul,SK09,Kalp Kutu,KA2,Boya-Kimya,172-088,Kalıp 172-088,B3,Ham Teneke,P3,3 Parça
M00191,YUVARLAK KUTU 073-062 LITOGRAFI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,073-062,Kalıp 073-062,B1,Litografi,P3,3 Parça
M00192,YUVARLAK KUTU 153-118 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,153-118,Kalıp 153-118,B1,Litografi,P2,2 Parça
M00193,YUVARLAK KUTU 153-118 MAT LAK 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,153-118,Kalıp 153-118,B4,Mat Lak,P3,3 Parça
M00194,YUVARLAK-SIVAMA KUTU 088-071 HAM TENEKE 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,088-071,Kalıp 088-071,B3,Ham Teneke,P2,2 Parça
M00195,YUVARLAK KUTU 099-084 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,099-084,Kalıp 099-084,B2,Vernikli,P2,2 Parça
M00196,YUVARLAK KUTU 073-062 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,073-062,Kalıp 073-062,B4,Mat Lak,P2,2 Parça
M00197,YUVARLAK-SIVAMA KUTU 112-096 VERNIKLI 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA1,Gıda,112-096,Kalıp 112-096,B2,Vernikli,P2,2 Parça
M00198,OVAL KUTU 128-066 LITOGRAFI 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA6,Bal-Reçel,128-066,Kalıp 128-066,B1,Litografi,P3,3 Parça
M00199,TEPSI 312-058 LITOGRAFI 3 PARÇA,01,Mamul,SK11,Tepsi,KA6,Bal-Reçel,312-058,Kalıp 312-058,B1,Litografi,P3,3 Parça
M00200,TEPSI 268-044 LITOGRAFI 2 PARÇA,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,268-044,Kalıp 268-044,B1,Litografi,P2,2 Parça
M00201,SEKIZGEN KUTU 138-094 LITOGRAFI 3 PARÇA,01,Mamul,SK07,Sekizgen Kutu,KA1,Gıda,138-094,Kalıp 138-094,B1,Litografi,P3,3 Parça
M00202,SEKILLI KUTU 186-148 HAM TENEKE 3 PARÇA,01,Mamul,SK08,Sekilli Kutu,KA6,Bal-Reçel,186-148,Kalıp 186-148,B3,Ham Teneke,P3,3 Parça
M00203,KARE KUTU 168-142 VERNIKLI 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA4,Hediyelik,168-142,Kalıp 168-142,B2,Vernikli,P2,2 Parça
M00204,SEKILLI KUTU 146-112 LITOGRAFI 2 PARÇA,01,Mamul,SK08,Sekilli Kutu,KA5,Endüstriyel,146-112,Kalıp 146-112,B1,Litografi,P2,2 Parça
M00205,KOSELI SIVAMA KUTU 158-114 HAM TENEKE 3 PARÇA,01,Mamul,SK10,Koseli Sivama Kutu,KA5,Endüstriyel,158-114,Kalıp 158-114,B3,Ham Teneke,P3,3 Parça
M00206,YUVARLAK-SIVAMA KUTU 088-071 HAM TENEKE 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA2,Boya-Kimya,088-071,Kalıp 088-071,B3,Ham Teneke,P3,3 Parça
M00207,YUVARLAK-SIVAMA KUTU 088-071 MAT LAK 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,088-071,Kalıp 088-071,B4,Mat Lak,P3,3 Parça
M00208,KOSELI SIVAMA KUTU 158-114 LITOGRAFI 3 PARÇA,01,Mamul,SK10,Koseli Sivama Kutu,KA6,Bal-Reçel,158-114,Kalıp 158-114,B1,Litografi,P3,3 Parça
M00209,KARE KUTU 105-072 VERNIKLI 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA2,Boya-Kimya,105-072,Kalıp 105-072,B2,Vernikli,P2,2 Parça
M00210,OVAL KUTU 208-136 MAT LAK 2 PARÇA,01,Mamul,SK05,Oval Kutu,KA2,Boya-Kimya,208-136,Kalıp 208-136,B4,Mat Lak,P2,2 Parça
M00211,YUVARLAK-SIVAMA KUTU 088-071 MAT LAK 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA1,Gıda,088-071,Kalıp 088-071,B4,Mat Lak,P2,2 Parça
M00212,YUVARLAK KUTU 153-118 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,153-118,Kalıp 153-118,B4,Mat Lak,P2,2 Parça
M00213,DIKDORTGEN KUTU 118-058 HAM TENEKE 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA1,Gıda,118-058,Kalıp 118-058,B3,Ham Teneke,P3,3 Parça
M00214,SEKILLI KUTU 146-112 LITOGRAFI 2 PARÇA,01,Mamul,SK08,Sekilli Kutu,KA6,Bal-Reçel,146-112,Kalıp 146-112,B1,Litografi,P2,2 Parça
M00215,KALP KUTU 134-064 VERNIKLI 2 PARÇA,01,Mamul,SK09,Kalp Kutu,KA1,Gıda,134-064,Kalıp 134-064,B2,Vernikli,P2,2 Parça
M00216,YUVARLAK KUTU 073-062 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,073-062,Kalıp 073-062,B4,Mat Lak,P2,2 Parça
M00217,YUVARLAK KUTU 099-084 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,099-084,Kalıp 099-084,B2,Vernikli,P2,2 Parça
M00218,YUVARLAK KUTU 153-118 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA4,Hediyelik,153-118,Kalıp 153-118,B3,Ham Teneke,P3,3 Parça
M00219,YUVARLAK-SIVAMA KUTU 066-048 HAM TENEKE 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA2,Boya-Kimya,066-048,Kalıp 066-048,B3,Ham Teneke,P3,3 Parça
M00220,YUVARLAK KUTU 099-084 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,099-084,Kalıp 099-084,B2,Vernikli,P2,2 Parça
M00221,YUVARLAK KUTU 073-062 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,073-062,Kalıp 073-062,B1,Litografi,P2,2 Parça
M00222,YUVARLAK KUTU 099-084 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,099-084,Kalıp 099-084,B2,Vernikli,P2,2 Parça
M00223,YUVARLAK-SIVAMA KUTU 112-096 VERNIKLI 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,112-096,Kalıp 112-096,B2,Vernikli,P3,3 Parça
M00224,YUVARLAK KUTU 073-062 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,073-062,Kalıp 073-062,B1,Litografi,P2,2 Parça
M00225,TEPSI 268-044 VERNIKLI 3 PARÇA,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,268-044,Kalıp 268-044,B2,Vernikli,P3,3 Parça
M00226,YUVARLAK-SIVAMA KUTU 088-071 HAM TENEKE 2 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA3,Kozmetik,088-071,Kalıp 088-071,B3,Ham Teneke,P2,2 Parça
M00227,KARE KUTU 168-142 MAT LAK 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA2,Boya-Kimya,168-142,Kalıp 168-142,B4,Mat Lak,P2,2 Parça
M00228,YUVARLAK-SIVAMA KUTU 112-096 VERNIKLI 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA5,Endüstriyel,112-096,Kalıp 112-096,B2,Vernikli,P3,3 Parça
M00229,KAPAK 084-022 VERNIKLI 3 PARÇA,01,Mamul,SK12,Kapak,KA5,Endüstriyel,084-022,Kalıp 084-022,B2,Vernikli,P3,3 Parça
M00230,YUVARLAK KUTU 073-062 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,073-062,Kalıp 073-062,B2,Vernikli,P2,2 Parça
M00231,KOSELI SIVAMA KUTU 126-086 HAM TENEKE 3 PARÇA,01,Mamul,SK10,Koseli Sivama Kutu,KA4,Hediyelik,126-086,Kalıp 126-086,B3,Ham Teneke,P3,3 Parça
M00232,ALTIGEN KUTU 096-054 HAM TENEKE 3 PARÇA,01,Mamul,SK06,Altıgen Kutu,KA1,Gıda,096-054,Kalıp 096-054,B3,Ham Teneke,P3,3 Parça
M00233,YUVARLAK-SIVAMA KUTU 112-096 MAT LAK 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA1,Gıda,112-096,Kalıp 112-096,B4,Mat Lak,P3,3 Parça
M00234,DIKDORTGEN KUTU 192-124 LITOGRAFI 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA1,Gıda,192-124,Kalıp 192-124,B1,Litografi,P3,3 Parça
M00235,KARE KUTU 168-142 VERNIKLI 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA3,Kozmetik,168-142,Kalıp 168-142,B2,Vernikli,P3,3 Parça
M00236,KARE KUTU 105-072 LITOGRAFI 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA2,Boya-Kimya,105-072,Kalıp 105-072,B1,Litografi,P3,3 Parça
M00237,YUVARLAK KUTU 099-084 HAM TENEKE 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,099-084,Kalıp 099-084,B3,Ham Teneke,P2,2 Parça
M00238,SADECE DIP 142-030 MAT LAK 3 PARÇA,01,Mamul,SK13,Sadece Dip,KA6,Bal-Reçel,142-030,Kalıp 142-030,B4,Mat Lak,P3,3 Parça
M00239,KAPAK 116-028 MAT LAK 3 PARÇA,01,Mamul,SK12,Kapak,KA4,Hediyelik,116-028,Kalıp 116-028,B4,Mat Lak,P3,3 Parça
M00240,YUVARLAK KUTU 153-118 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,153-118,Kalıp 153-118,B4,Mat Lak,P2,2 Parça
M00241,YUVARLAK KUTU 153-118 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,153-118,Kalıp 153-118,B2,Vernikli,P3,3 Parça
M00242,YUVARLAK-SIVAMA KUTU 112-096 HAM TENEKE 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA4,Hediyelik,112-096,Kalıp 112-096,B3,Ham Teneke,P3,3 Parça
M00243,PLAKA-BARDAK ALTI 186-012 HAM TENEKE 3 PARÇA,01,Mamul,SK16,Plaka-Bardak Alti,KA3,Kozmetik,186-012,Kalıp 186-012,B3,Ham Teneke,P3,3 Parça
M00244,SADECE KAPAK 094-020 LITOGRAFI 3 PARÇA,01,Mamul,SK14,Sadece Kapak,KA5,Endüstriyel,094-020,Kalıp 094-020,B1,Litografi,P3,3 Parça
M00245,YUVARLAK KUTU 099-084 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,099-084,Kalıp 099-084,B3,Ham Teneke,P3,3 Parça
M00246,DIKDORTGEN KUTU 156-082 MAT LAK 2 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA2,Boya-Kimya,156-082,Kalıp 156-082,B4,Mat Lak,P2,2 Parça
M00247,KARE KUTU 168-142 VERNIKLI 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA2,Boya-Kimya,168-142,Kalıp 168-142,B2,Vernikli,P3,3 Parça
M00248,YUVARLAK KUTU 153-118 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,153-118,Kalıp 153-118,B4,Mat Lak,P2,2 Parça
M00249,ALTIGEN KUTU 122-078 VERNIKLI 3 PARÇA,01,Mamul,SK06,Altıgen Kutu,KA2,Boya-Kimya,122-078,Kalıp 122-078,B2,Vernikli,P3,3 Parça
M00250,KALP KUTU 134-064 VERNIKLI 2 PARÇA,01,Mamul,SK09,Kalp Kutu,KA5,Endüstriyel,134-064,Kalıp 134-064,B2,Vernikli,P2,2 Parça
M00251,DIKDORTGEN KUTU 118-058 LITOGRAFI 2 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA6,Bal-Reçel,118-058,Kalıp 118-058,B1,Litografi,P2,2 Parça
M00252,YUVARLAK KUTU 073-062 VERNIKLI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,073-062,Kalıp 073-062,B2,Vernikli,P3,3 Parça
M00253,YUVARLAK KUTU 073-062 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,073-062,Kalıp 073-062,B2,Vernikli,P2,2 Parça
M00254,DIKDORTGEN KUTU 156-082 LITOGRAFI 2 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA6,Bal-Reçel,156-082,Kalıp 156-082,B1,Litografi,P2,2 Parça
M00255,YUVARLAK KUTU 099-084 LITOGRAFI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,099-084,Kalıp 099-084,B1,Litografi,P2,2 Parça
M00256,OVAL KUTU 208-136 MAT LAK 3 PARÇA,01,Mamul,SK05,Oval Kutu,KA1,Gıda,208-136,Kalıp 208-136,B4,Mat Lak,P3,3 Parça
M00257,YUVARLAK KUTU 153-118 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,153-118,Kalıp 153-118,B4,Mat Lak,P2,2 Parça
M00258,YUVARLAK KUTU 153-118 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,153-118,Kalıp 153-118,B3,Ham Teneke,P3,3 Parça
M00259,TEPSI 268-044 MAT LAK 2 PARÇA,01,Mamul,SK11,Tepsi,KA1,Gıda,268-044,Kalıp 268-044,B4,Mat Lak,P2,2 Parça
M00260,DIKDORTGEN KUTU 156-082 HAM TENEKE 2 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA3,Kozmetik,156-082,Kalıp 156-082,B3,Ham Teneke,P2,2 Parça
M00261,TEPSI 216-032 VERNIKLI 3 PARÇA,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,216-032,Kalıp 216-032,B2,Vernikli,P3,3 Parça
M00262,YUVARLAK KUTU 153-118 HAM TENEKE 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,153-118,Kalıp 153-118,B3,Ham Teneke,P2,2 Parça
M00263,KARE KUTU 105-072 VERNIKLI 3 PARÇA,01,Mamul,SK03,Kare Kutu,KA1,Gıda,105-072,Kalıp 105-072,B2,Vernikli,P3,3 Parça
M00264,YUVARLAK KUTU 153-118 VERNIKLI 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,153-118,Kalıp 153-118,B2,Vernikli,P2,2 Parça
M00265,YUVARLAK KUTU 073-062 MAT LAK 2 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,073-062,Kalıp 073-062,B4,Mat Lak,P2,2 Parça
M00266,YUVARLAK KUTU 153-118 HAM TENEKE 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA5,Endüstriyel,153-118,Kalıp 153-118,B3,Ham Teneke,P3,3 Parça
M00267,YUVARLAK-SIVAMA KUTU 088-071 MAT LAK 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA6,Bal-Reçel,088-071,Kalıp 088-071,B4,Mat Lak,P3,3 Parça
M00268,YUVARLAK KUTU 099-084 LITOGRAFI 3 PARÇA,01,Mamul,SK01,Yuvarlak Kutu,KA2,Boya-Kimya,099-084,Kalıp 099-084,B1,Litografi,P3,3 Parça
M00269,DIKDORTGEN KUTU 192-124 MAT LAK 3 PARÇA,01,Mamul,SK04,Dikdortgen Kutu,KA2,Boya-Kimya,192-124,Kalıp 192-124,B4,Mat Lak,P3,3 Parça
M00270,YUVARLAK-SIVAMA KUTU 088-071 HAM TENEKE 3 PARÇA,01,Mamul,SK02,Yuvarlak-Sivama Kutu,KA4,Hediyelik,088-071,Kalıp 088-071,B3,Ham Teneke,P3,3 Parça
M00271,KARE KUTU 132-108 MAT LAK 2 PARÇA,01,Mamul,SK03,Kare Kutu,KA4,Hediyelik,132-108,Kalıp 132-108,B4,Mat Lak,P2,2 Parça
