INCKEYNO,TAKIP_ID,ISEMRINO,STOK_KODU,STOK_ADI,BASLANGICTARIH,BITISTARIHSAAT,SURE,ACIKLAMA,ARIZA_ADI,DEVAM_EDIYOR
4000382,900589,IE25900589,M00033,YUVARLAK KUTU Ø092 MAT LAK 3 PARÇA,2025-07-16 08:59:16,2025-07-16 09:37:04,37.8,Operatör müdahalesi,Malzeme Bekleme,0
4000383,900590,IE26900590,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,2026-06-29 16:22:29,2026-06-29 17:15:05,52.6,Kalıp söküldü,Vardiya Devri,0
4000384,900591,IE26900591,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,2026-06-30 11:18:07,2026-06-30 12:16:25,58.3,,Kalıp Değişimi,0
4000385,900593,IE26900593,M00201,YUVARLAK KUTU Ø050 LITOGRAFI 3 PARÇA,2026-05-29 13:36:36,2026-05-29 14:06:18,29.7,Operatör müdahalesi,Hidrolik Kaçak,0
4000386,900600,IE25900600,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2025-09-25 07:22:53,2025-09-25 07:50:47,27.9,Operatör müdahalesi,Ayar / Numune Onayı,0
4000387,900602,IE25900602,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2025-09-27 18:48:10,2025-09-27 19:16:34,28.4,Yedek parça bekleniyor,Vardiya Devri,0
4000388,900603,IE25900603,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2025-09-28 13:47:58,2025-09-28 14:22:28,34.5,Yedek parça bekleniyor,Sac Sıkışması,0
4000389,900604,IE26900604,M00041,YUVARLAK KUTU Ø050 HAM TENEKE 3 PARÇA,2026-03-04 09:00:07,2026-03-04 09:44:01,43.9,Yedek parça bekleniyor,Ayar / Numune Onayı,0
4000390,900605,IE26900605,M00041,YUVARLAK KUTU Ø050 HAM TENEKE 3 PARÇA,2026-03-05 17:32:24,2026-03-05 18:45:18,72.9,Bakım çağrıldı,Kalıp Değişimi,0
4000391,900606,IE26900606,M00041,YUVARLAK KUTU Ø050 HAM TENEKE 3 PARÇA,2026-03-06 10:36:43,2026-03-06 10:44:07,7.4,Bakım çağrıldı,Ayar / Numune Onayı,0
4000392,900608,IE25900608,M00158,YUVARLAK KUTU 245-175 LITOGRAFI 2 PARÇA,2025-12-16 14:42:28,2025-12-16 15:25:04,42.6,Operatör müdahalesi,Mekanik Arıza,0
4000393,900609,IE25900609,M00158,YUVARLAK KUTU 245-175 LITOGRAFI 2 PARÇA,2025-12-17 17:58:12,2025-12-17 18:25:48,27.6,,Ayar / Numune Onayı,0
4000394,900611,IE25900611,M00158,YUVARLAK KUTU 245-175 LITOGRAFI 2 PARÇA,2025-12-19 09:39:53,2025-12-19 10:50:23,70.5,Yedek parça bekleniyor,Mekanik Arıza,0
4000395,900612,IE25900612,M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,2025-12-27 13:09:20,2025-12-27 14:24:14,74.9,Bakım çağrıldı,Hidrolik Kaçak,0
4000396,900613,IE25900613,M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,2025-12-28 18:35:19,2025-12-28 18:54:01,18.7,Kalıp söküldü,Hidrolik Kaçak,0
4000397,900614,IE25900614,M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,2025-12-29 20:27:07,2025-12-29 20:50:37,23.5,Operatör müdahalesi,Mekanik Arıza,0
4000398,900617,IE25900617,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-10-27 20:48:11,2025-10-27 21:22:41,34.5,Operatör müdahalesi,Mekanik Arıza,0
4000399,900620,IE25900620,M00018,SEKIZGEN KUTU 135-145 HAM TENEKE 2 PARÇA,2025-09-25 16:57:37,2025-09-25 17:39:19,41.7,Operatör müdahalesi,Planlı Bakım,0
4000400,900621,IE25900621,M00018,SEKIZGEN KUTU 135-145 HAM TENEKE 2 PARÇA,2025-09-26 13:39:52,2025-09-26 14:21:22,41.5,Kalıp söküldü,Ayar / Numune Onayı,0
4000401,900622,IE25900622,M00018,SEKIZGEN KUTU 135-145 HAM TENEKE 2 PARÇA,2025-09-27 22:32:17,2025-09-27 22:48:47,16.5,,Ayar / Numune Onayı,0
4000402,900623,IE25900623,M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,2025-12-04 13:14:41,2025-12-04 13:55:17,40.6,Operatör müdahalesi,Kalıp Değişimi,0
4000403,900624,IE25900624,M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,2025-12-05 14:26:53,2025-12-05 15:24:17,57.4,Kalıp söküldü,Sac Sıkışması,0
4000404,900626,IE25900626,M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,2025-12-07 08:29:16,2025-12-07 08:38:16,9,Kalıp söküldü,Sac Sıkışması,0
4000405,900628,IE25900628,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2025-10-04 17:29:12,2025-10-04 17:38:00,8.8,Yedek parça bekleniyor,Kalıp Değişimi,0
4000406,900629,IE25900629,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2025-10-05 09:09:45,2025-10-05 09:48:15,38.5,Operatör müdahalesi,Kalıp Değişimi,0
4000407,900631,IE26900631,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,2026-05-25 13:11:58,2026-05-25 13:51:46,39.8,,Mekanik Arıza,0
4000408,900632,IE26900632,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,2026-05-26 12:07:49,2026-05-26 13:12:55,65.1,Bakım çağrıldı,Kalıp Değişimi,0
4000409,900634,IE25900634,M00028,YUVARLAK KUTU 245-175 MAT LAK 3 PARÇA,2025-07-24 20:36:12,2025-07-24 21:08:36,32.4,Yedek parça bekleniyor,Hidrolik Kaçak,0
4000410,900635,IE25900635,M00028,YUVARLAK KUTU 245-175 MAT LAK 3 PARÇA,2025-07-25 22:10:40,2025-07-25 23:15:04,64.4,Bakım çağrıldı,Kalıp Değişimi,0
4000411,900636,IE25900636,M00028,YUVARLAK KUTU 245-175 MAT LAK 3 PARÇA,2025-07-26 12:24:59,2025-07-26 12:43:53,18.9,Bakım çağrıldı,Mekanik Arıza,0
4000412,900637,IE25900637,M00028,YUVARLAK KUTU 245-175 MAT LAK 3 PARÇA,2025-07-27 17:01:20,2025-07-27 18:26:20,85,Yedek parça bekleniyor,Mekanik Arıza,0
4000413,900638,IE25900638,M00017,OVAL KUTU 295-165 VERNIKLI 2 PARÇA,2025-11-23 11:08:43,2025-11-23 12:28:07,79.4,Kalıp söküldü,Vardiya Devri,0
4000414,900640,IE25900640,M00017,OVAL KUTU 295-165 VERNIKLI 2 PARÇA,2025-11-25 22:45:10,2025-11-25 22:59:52,14.7,Bakım çağrıldı,Vardiya Devri,0
4000415,900641,IE26900641,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2026-04-13 15:27:20,2026-04-13 15:52:38,25.3,Bakım çağrıldı,Elektrik Arızası,0
4000416,900642,IE26900642,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2026-04-14 10:55:55,2026-04-14 11:33:19,37.4,,Sac Sıkışması,0
4000417,900644,IE25900644,M00052,YUVARLAK KUTU 135-145 LITOGRAFI 2 PARÇA,2025-07-30 09:27:21,2025-07-30 09:59:15,31.9,,Hidrolik Kaçak,0
4000418,900647,IE25900647,M00052,YUVARLAK KUTU 135-145 LITOGRAFI 2 PARÇA,2025-08-02 10:29:45,2025-08-02 11:23:39,53.9,,Vardiya Devri,0
4000419,900648,IE25900648,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,2025-11-03 20:26:23,2025-11-03 21:07:17,40.9,,Vardiya Devri,0
4000420,900649,IE25900649,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,2025-11-04 10:31:01,2025-11-04 12:23:55,112.9,Yedek parça bekleniyor,Elektrik Arızası,0
4000421,900650,IE25900650,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,2025-11-05 09:12:08,2025-11-05 10:14:38,62.5,Kalıp söküldü,Malzeme Bekleme,0
4000422,900652,IE25900652,M00005,DIKDORTGEN KUTU 145-095 MAT LAK 2 PARÇA,2025-07-05 20:28:37,2025-07-05 21:04:07,35.5,Operatör müdahalesi,Ayar / Numune Onayı,0
4000423,900653,IE25900653,M00005,DIKDORTGEN KUTU 145-095 MAT LAK 2 PARÇA,2025-07-06 16:20:58,2025-07-06 17:11:52,50.9,Yedek parça bekleniyor,Hidrolik Kaçak,0
4000424,900654,IE25900654,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-12-04 19:16:01,2025-12-04 19:46:25,30.4,,Vardiya Devri,0
4000425,900655,IE25900655,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-12-05 20:22:52,2025-12-05 20:30:46,7.9,Yedek parça bekleniyor,Sac Sıkışması,0
4000426,900657,IE25900657,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-12-07 13:37:47,2025-12-07 15:00:29,82.7,,Kalıp Değişimi,0
4000427,900658,IE26900658,M00042,SEKIZGEN KUTU 135-145 LITOGRAFI 3 PARÇA,2026-06-20 15:09:54,2026-06-20 16:07:24,57.5,Kalıp söküldü,Sac Sıkışması,0
4000428,900659,IE26900659,M00042,SEKIZGEN KUTU 135-145 LITOGRAFI 3 PARÇA,2026-06-21 13:08:54,2026-06-21 13:38:48,29.9,Kalıp söküldü,Planlı Bakım,0
4000429,900660,IE26900660,M00042,SEKIZGEN KUTU 135-145 LITOGRAFI 3 PARÇA,2026-06-22 08:30:05,2026-06-22 08:50:29,20.4,Kalıp söküldü,Ayar / Numune Onayı,0
4000430,900661,IE26900661,M00042,SEKIZGEN KUTU 135-145 LITOGRAFI 3 PARÇA,2026-06-23 16:46:49,2026-06-23 17:44:37,57.8,Operatör müdahalesi,Elektrik Arızası,0
4000431,900664,IE25900664,M00034,SEKIZGEN KUTU Ø050 LITOGRAFI 2 PARÇA,2025-07-11 20:21:02,2025-07-11 20:36:20,15.3,Kalıp söküldü,Malzeme Bekleme,0
4000432,900666,IE26900666,M00008,YUVARLAK KUTU 210-255 HAM TENEKE 3 PARÇA,2026-01-17 20:48:01,2026-01-17 21:48:13,60.2,Operatör müdahalesi,Elektrik Arızası,0
4000433,900667,IE26900667,M00008,YUVARLAK KUTU 210-255 HAM TENEKE 3 PARÇA,2026-01-18 09:04:12,2026-01-18 09:23:48,19.6,Kalıp söküldü,Sac Sıkışması,0
4000434,900669,IE26900669,M00008,YUVARLAK KUTU 210-255 HAM TENEKE 3 PARÇA,2026-01-20 10:31:09,2026-01-20 10:54:39,23.5,,Kalıp Değişimi,0
4000435,900670,IE26900670,M00014,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,2026-02-20 21:44:06,2026-02-20 22:00:36,16.5,Yedek parça bekleniyor,Mekanik Arıza,0
4000436,900671,IE26900671,M00014,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,2026-02-21 18:57:28,2026-02-21 20:04:22,66.9,,Vardiya Devri,0
4000437,900672,IE26900672,M00014,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,2026-02-22 18:46:13,2026-02-22 19:12:01,25.8,Yedek parça bekleniyor,Kalıp Değişimi,0
4000438,900674,IE26900674,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-03-24 16:59:39,2026-03-24 17:33:51,34.2,Kalıp söküldü,Ayar / Numune Onayı,0
4000439,900675,IE26900675,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-03-25 22:38:07,2026-03-25 22:55:31,17.4,Yedek parça bekleniyor,Sac Sıkışması,0
4000440,900676,IE26900676,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-03-26 13:46:07,2026-03-26 14:14:01,27.9,Bakım çağrıldı,Mekanik Arıza,0
4000441,900677,IE26900677,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-03-27 18:22:25,2026-03-27 19:19:19,56.9,Kalıp söküldü,Personel Yetersizliği,0
4000442,900679,IE26900679,M00013,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,2026-02-05 11:21:04,2026-02-05 12:18:40,57.6,Kalıp söküldü,Ayar / Numune Onayı,0
4000443,900680,IE26900680,M00013,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,2026-02-06 17:19:17,2026-02-06 18:30:29,71.2,Kalıp söküldü,Kalıp Değişimi,0
4000444,900681,IE26900681,M00013,KOSELI SIVAMA KUTU 210-080 LITOGRAFI 3 PARÇA,2026-02-07 22:07:40,2026-02-07 22:47:34,39.9,Yedek parça bekleniyor,Mekanik Arıza,0
4000445,900682,IE25900682,M00037,YUVARLAK KUTU 078-095 MAT LAK 3 PARÇA,2025-07-04 08:28:50,2025-07-04 09:42:02,73.2,,Malzeme Bekleme,0
4000446,900684,IE25900684,M00037,YUVARLAK KUTU 078-095 MAT LAK 3 PARÇA,2025-07-06 07:39:51,2025-07-06 07:59:27,19.6,Bakım çağrıldı,Kalıp Değişimi,0
4000447,900685,IE25900685,M00037,YUVARLAK KUTU 078-095 MAT LAK 3 PARÇA,2025-07-07 10:04:22,2025-07-07 10:24:22,20,Bakım çağrıldı,Kalıp Değişimi,0
4000448,900690,IE25900690,M00020,YUVARLAK KUTU 210-255 LITOGRAFI 2 PARÇA,2025-10-28 16:52:57,2025-10-28 18:10:51,77.9,Kalıp söküldü,Ayar / Numune Onayı,0
4000449,900691,IE25900691,M00020,YUVARLAK KUTU 210-255 LITOGRAFI 2 PARÇA,2025-10-29 13:21:27,2025-10-29 14:27:21,65.9,Operatör müdahalesi,Kalıp Değişimi,0
4000450,900694,IE26900694,M00050,YUVARLAK KUTU 158-175 HAM TENEKE 3 PARÇA,2026-04-19 14:01:53,2026-04-19 14:39:17,37.4,Operatör müdahalesi,Kalıp Değişimi,0
4000451,900695,IE26900695,M00050,YUVARLAK KUTU 158-175 HAM TENEKE 3 PARÇA,2026-04-20 11:11:09,2026-04-20 12:14:15,63.1,Operatör müdahalesi,Vardiya Devri,0
4000452,900696,IE26900696,M00050,YUVARLAK KUTU 158-175 HAM TENEKE 3 PARÇA,2026-04-21 12:24:49,2026-04-21 12:36:25,11.6,,Sac Sıkışması,0
4000453,900697,IE26900697,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,2026-01-22 10:14:01,2026-01-22 11:17:37,63.6,Yedek parça bekleniyor,Vardiya Devri,0
4000454,900698,IE26900698,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,2026-01-23 18:53:52,2026-01-23 20:10:46,76.9,Bakım çağrıldı,Personel Yetersizliği,0
4000455,900700,IE25900700,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,2025-07-09 12:40:16,2025-07-09 14:08:22,88.1,Operatör müdahalesi,Vardiya Devri,0
4000456,900701,IE25900701,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,2025-07-10 20:55:15,2025-07-10 21:22:33,27.3,Kalıp söküldü,Mekanik Arıza,0
4000457,900702,IE25900702,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,2025-07-11 11:40:35,2025-07-11 13:10:59,90.4,,Kalite Duruşu,0
4000458,900704,IE26900704,M00022,SEKIZGEN KUTU 135-145 VERNIKLI 2 PARÇA,2026-06-03 15:26:51,2026-06-03 16:31:51,65,,Kalıp Değişimi,0
4000459,900706,IE26900706,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-07-05 07:59:18,2026-07-05 08:30:00,30.7,Kalıp söküldü,Elektrik Arızası,0
4000460,900708,IE26900708,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-07-07 18:53:58,2026-07-07 19:07:28,13.5,Kalıp söküldü,Kalıp Değişimi,0
4000461,900709,IE26900709,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-07-08 20:09:13,2026-07-08 21:24:37,75.4,Kalıp söküldü,Vardiya Devri,0
4000462,900710,IE25900710,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-08-02 16:10:57,2025-08-02 17:21:33,70.6,Kalıp söküldü,Malzeme Bekleme,0
4000463,900711,IE25900711,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-08-03 13:14:58,2025-08-03 13:33:16,18.3,,Kalıp Değişimi,0
4000464,900714,IE25900714,M00056,TEPSI 325-125 LITOGRAFI 2 PARÇA,2025-08-03 19:40:40,2025-08-03 20:13:28,32.8,,Ayar / Numune Onayı,0
4000465,900715,IE25900715,M00056,TEPSI 325-125 LITOGRAFI 2 PARÇA,2025-08-04 15:05:10,2025-08-04 16:31:28,86.3,Kalıp söküldü,Vardiya Devri,0
4000466,900717,IE25900717,M00056,TEPSI 325-125 LITOGRAFI 2 PARÇA,2025-08-06 16:43:54,2025-08-06 17:33:06,49.2,Operatör müdahalesi,Malzeme Bekleme,0
4000467,900718,IE25900718,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-11-07 22:30:01,2025-11-07 22:58:19,28.3,Kalıp söküldü,Sac Sıkışması,0
4000468,900719,IE25900719,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-11-08 10:01:50,2025-11-08 11:08:08,66.3,Kalıp söküldü,Malzeme Bekleme,0
4000469,900724,IE25900724,M00019,OVAL KUTU 295-165 VERNIKLI 2 PARÇA,2025-07-23 18:14:28,2025-07-23 18:49:28,35,Bakım çağrıldı,Ayar / Numune Onayı,0
4000470,900725,IE25900725,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2025-11-16 16:55:47,2025-11-16 17:53:47,58,Operatör müdahalesi,Enerji Kesintisi,0
4000471,900726,IE25900726,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2025-11-17 13:07:50,2025-11-17 14:09:26,61.6,Bakım çağrıldı,Vardiya Devri,0
4000472,900727,IE25900727,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2025-11-18 16:21:08,2025-11-18 16:27:02,5.9,Operatör müdahalesi,Kalıp Değişimi,0
4000473,900728,IE25900728,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2025-11-19 13:25:13,2025-11-19 13:45:25,20.2,,Ayar / Numune Onayı,0
4000474,900729,IE26900729,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-02-02 08:31:37,2026-02-02 08:51:19,19.7,Bakım çağrıldı,Mekanik Arıza,0
4000475,900731,IE26900731,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2026-02-04 13:56:48,2026-02-04 14:55:18,58.5,Kalıp söküldü,Personel Yetersizliği,0
4000476,900734,IE26900734,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2026-04-27 17:16:30,2026-04-27 18:00:30,44,,Kalıp Değişimi,0
4000477,900735,IE25900735,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-07-16 10:06:18,2025-07-16 11:10:42,64.4,Kalıp söküldü,Planlı Bakım,0
4000478,900737,IE25900737,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-07-18 12:47:02,2025-07-18 12:58:50,11.8,Bakım çağrıldı,Kalıp Değişimi,0
4000479,900738,IE25900738,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,2025-07-19 18:47:17,2025-07-19 20:09:35,82.3,Yedek parça bekleniyor,Vardiya Devri,0
4000480,900739,IE26900739,M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,2026-07-14 09:28:50,2026-07-14 10:54:02,85.2,Yedek parça bekleniyor,Kalıp Değişimi,0
4000481,900741,IE26900741,M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,2026-07-16 08:46:06,2026-07-16 09:27:30,41.4,Yedek parça bekleniyor,Planlı Bakım,0
4000482,900746,IE25900746,M00042,SEKIZGEN KUTU 135-145 LITOGRAFI 3 PARÇA,2025-11-11 10:20:06,2025-11-11 10:26:00,5.9,Operatör müdahalesi,Kalıp Değişimi,0
4000483,900747,IE25900747,M00042,SEKIZGEN KUTU 135-145 LITOGRAFI 3 PARÇA,2025-11-12 14:52:54,2025-11-12 15:44:00,51.1,Kalıp söküldü,Personel Yetersizliği,0
4000484,900748,IE25900748,M00042,SEKIZGEN KUTU 135-145 LITOGRAFI 3 PARÇA,2025-11-13 20:14:48,2025-11-13 20:43:36,28.8,Yedek parça bekleniyor,Kalıp Değişimi,0
4000485,900751,IE25900751,M00031,YUVARLAK KUTU 145-095 MAT LAK 2 PARÇA,2025-09-05 14:01:23,2025-09-05 14:17:53,16.5,Bakım çağrıldı,Planlı Bakım,0
4000486,900752,IE25900752,M00031,YUVARLAK KUTU 145-095 MAT LAK 2 PARÇA,2025-09-06 10:13:37,2025-09-06 10:26:01,12.4,,Malzeme Bekleme,0
4000487,900753,IE25900753,M00031,YUVARLAK KUTU 145-095 MAT LAK 2 PARÇA,2025-09-07 17:52:36,2025-09-07 18:58:06,65.5,Bakım çağrıldı,Kalıp Değişimi,0
4000488,900754,IE25900754,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2025-07-23 20:32:44,2025-07-23 21:07:50,35.1,Operatör müdahalesi,Mekanik Arıza,0
4000489,900755,IE25900755,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2025-07-24 08:29:40,2025-07-24 09:21:04,51.4,Kalıp söküldü,Personel Yetersizliği,0
4000490,900756,IE25900756,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2025-07-25 10:33:36,2025-07-25 11:35:42,62.1,Operatör müdahalesi,Elektrik Arızası,0
4000491,900757,IE25900757,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,2025-07-26 18:22:37,2025-07-26 19:01:19,38.7,Yedek parça bekleniyor,Kalite Duruşu,0
4000492,900758,IE25900758,M00034,SEKIZGEN KUTU Ø050 LITOGRAFI 2 PARÇA,2025-11-11 11:48:02,2025-11-11 13:01:32,73.5,,Malzeme Bekleme,0
4000493,900759,IE25900759,M00034,SEKIZGEN KUTU Ø050 LITOGRAFI 2 PARÇA,2025-11-12 18:50:06,2025-11-12 19:11:42,21.6,Operatör müdahalesi,Malzeme Bekleme,0
4000494,900760,IE25900760,M00034,SEKIZGEN KUTU Ø050 LITOGRAFI 2 PARÇA,2025-11-13 09:39:58,2025-11-13 10:13:52,33.9,Kalıp söküldü,Hidrolik Kaçak,0
4000495,900761,IE25900761,M00034,SEKIZGEN KUTU Ø050 LITOGRAFI 2 PARÇA,2025-11-14 11:56:15,2025-11-14 12:10:51,14.6,Operatör müdahalesi,Personel Yetersizliği,0
4000496,900762,IE25900762,M00021,KAPAK 090-065 MAT LAK 3 PARÇA,2025-10-05 09:20:20,2025-10-05 10:16:56,56.6,Kalıp söküldü,Elektrik Arızası,0
4000497,900764,IE25900764,M00021,KAPAK 090-065 MAT LAK 3 PARÇA,2025-10-07 18:35:19,2025-10-07 19:06:31,31.2,Bakım çağrıldı,Kalıp Değişimi,0
4000498,900767,IE26900767,M00159,SEKILLI KUTU 175-205 MAT LAK 2 PARÇA,2026-04-26 12:03:48,2026-04-26 12:12:30,8.7,Yedek parça bekleniyor,Mekanik Arıza,0
4000499,900769,IE25900769,M00010,YUVARLAK KUTU 255-205 MAT LAK 3 PARÇA,2025-07-28 08:13:56,2025-07-28 08:30:14,16.3,Bakım çağrıldı,Kalite Duruşu,0
4000500,900770,IE25900770,M00010,YUVARLAK KUTU 255-205 MAT LAK 3 PARÇA,2025-07-29 17:14:00,2025-07-29 18:15:18,61.3,Bakım çağrıldı,Sac Sıkışması,0
4000501,900771,IE25900771,M00010,YUVARLAK KUTU 255-205 MAT LAK 3 PARÇA,2025-07-30 19:22:15,2025-07-30 19:36:15,14,,Ayar / Numune Onayı,0
4000502,900772,IE25900772,M00010,YUVARLAK KUTU 255-205 MAT LAK 3 PARÇA,2025-07-31 21:09:28,2025-07-31 21:47:40,38.2,,Mekanik Arıza,0
4000503,900773,IE26900773,M00032,TEPSI Ø068 VERNIKLI 3 PARÇA,2026-06-27 17:03:31,2026-06-27 17:10:49,7.3,Yedek parça bekleniyor,Malzeme Bekleme,0
4000504,900774,IE26900774,M00032,TEPSI Ø068 VERNIKLI 3 PARÇA,2026-06-28 18:12:46,2026-06-28 18:51:34,38.8,Operatör müdahalesi,Ayar / Numune Onayı,0
4000505,900775,IE26900775,M00032,TEPSI Ø068 VERNIKLI 3 PARÇA,2026-06-29 09:00:09,2026-06-29 09:15:45,15.6,Operatör müdahalesi,Kalıp Değişimi,0
4000506,900776,IE26900776,M00032,TEPSI Ø068 VERNIKLI 3 PARÇA,2026-06-30 12:50:39,2026-06-30 13:10:15,19.6,,Kalıp Değişimi,0
4000507,900778,IE26900778,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,2026-04-14 14:01:37,2026-04-14 14:57:49,56.2,Operatör müdahalesi,Sac Sıkışması,0
4000508,900781,IE25900781,M00170,YUVARLAK KUTU Ø050 LITOGRAFI 3 PARÇA,2025-08-12 13:30:10,2025-08-12 14:37:52,67.7,,Kalite Duruşu,0
4000509,900783,IE25900783,M00170,YUVARLAK KUTU Ø050 LITOGRAFI 3 PARÇA,2025-08-14 08:18:04,2025-08-14 09:18:58,60.9,,Kalıp Değişimi,0
4000510,900784,IE26900784,M00005,DIKDORTGEN KUTU 145-095 MAT LAK 2 PARÇA,2026-05-17 09:52:53,2026-05-17 10:18:11,25.3,,Vardiya Devri,0
4000511,900785,IE26900785,M00005,DIKDORTGEN KUTU 145-095 MAT LAK 2 PARÇA,2026-05-18 18:15:40,2026-05-18 19:04:52,49.2,,Kalıp Değişimi,0
4000512,900786,IE26900786,M00005,DIKDORTGEN KUTU 145-095 MAT LAK 2 PARÇA,2026-05-19 13:29:15,2026-05-19 13:49:51,20.6,Bakım çağrıldı,Kalıp Değişimi,0
4000513,900787,IE26900787,M00005,DIKDORTGEN KUTU 145-095 MAT LAK 2 PARÇA,2026-05-20 15:19:26,2026-05-20 15:56:44,37.3,Operatör müdahalesi,Sac Sıkışması,0
4000514,900788,IE26900788,M00019,OVAL KUTU 295-165 VERNIKLI 2 PARÇA,2026-02-15 10:07:40,2026-02-15 10:42:10,34.5,Bakım çağrıldı,Mekanik Arıza,0
4000515,900789,IE26900789,M00019,OVAL KUTU 295-165 VERNIKLI 2 PARÇA,2026-02-16 12:31:22,2026-02-16 12:56:16,24.9,,Planlı Bakım,0
4000516,900790,IE26900790,M00019,OVAL KUTU 295-165 VERNIKLI 2 PARÇA,2026-02-17 12:28:44,2026-02-17 13:23:08,54.4,Operatör müdahalesi,Kalıp Değişimi,0
4000517,900791,IE26900791,M00019,OVAL KUTU 295-165 VERNIKLI 2 PARÇA,2026-02-18 14:34:33,2026-02-18 15:13:09,38.6,,Mekanik Arıza,0
4000518,900792,IE26900792,M00005,DIKDORTGEN KUTU 145-095 MAT LAK 2 PARÇA,2026-04-15 09:21:47,2026-04-15 10:16:05,54.3,Bakım çağrıldı,Kalıp Değişimi,0
4000519,900794,IE26900794,M00005,DIKDORTGEN KUTU 145-095 MAT LAK 2 PARÇA,2026-04-17 19:40:39,2026-04-17 21:26:57,106.3,Bakım çağrıldı,Sac Sıkışması,0
4000520,900796,IE26900796,M00046,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,2026-03-19 19:40:57,2026-03-19 20:08:45,27.8,,Kalite Duruşu,0
4000521,900798,IE26900798,M00046,DIKDORTGEN KUTU 185-115 MAT LAK 2 PARÇA,2026-03-21 14:33:34,2026-03-21 15:03:28,29.9,Kalıp söküldü,Malzeme Bekleme,0
