TAKIPNO,ISEMRINO,KALIPADI,STOK_KODU,STOK_ADI,CARI_KOD,CARI_ISIM,SIPARIS_NO,REFISEMRINO,SIPARIS_KONT,OPKODU,MAKINA_NO,MAKINE_ADI,ISTKODU,ISTISIM,MIKTAR,DURUM_KOD,DURUM_ADI,ACIKLAMA,TESLIM_TARIHI,TRA_ACIKLAMA,STOK_GRUPKODU,STOK_GRUPADI,STOK_KOD1,STOK_AD1,STOK_KOD2,STOK_AD2,STOK_KOD3,STOK_AD3,STOK_KOD4,STOK_AD4
900513,IE26900513,120-105,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,120.01.0031,Narlıcan Konserve A.Ş.,SIP26006880,RF900513,2,OP02,32,OFSET BASKI 03 · 2 RENK + VERNİK,MTB,MATBAA,144,20,ÜRETİMDE,,2026-08-19,,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,120-105,Kalıp 120-105,B3,Ham Teneke
900516,IE26900516,295-165,M00019,OVAL KUTU 295-165 VERNIKLI 2 PARÇA,120.01.0023,Ünlüoğlu Çay A.Ş.,SIP26006431,RF900516,1,OP01,25,KESİM HATTI 02 · GİYOTİN,KSM,KESIM,12536,30,TAMAMLANDI,Acil iş,2026-06-24,Kısmi üretim,01,Mamul,SK05,Oval Kutu,KA6,Bal-Reçel,295-165,Kalıp 295-165,B2,Vernikli
900517,IE26900517,295-165,M00019,OVAL KUTU 295-165 VERNIKLI 2 PARÇA,120.01.0023,Ünlüoğlu Çay A.Ş.,SIP26006431,RF900517,1,OP02,46,DİJİTAL BASKI 02,DJT,DIJITAL,12277,30,TAMAMLANDI,Numune onayı bekleniyor,2026-06-10,Fazla üretim,01,Mamul,SK05,Oval Kutu,KA6,Bal-Reçel,295-165,Kalıp 295-165,B2,Vernikli
900518,IE26900518,295-165,M00019,OVAL KUTU 295-165 VERNIKLI 2 PARÇA,120.01.0023,Ünlüoğlu Çay A.Ş.,SIP26006431,RF900518,1,OP03,16,PRES 16 · 16 TON KULP,PRS,PRES,12165,30,TAMAMLANDI,Acil iş,2026-06-25,,01,Mamul,SK05,Oval Kutu,KA6,Bal-Reçel,295-165,Kalıp 295-165,B2,Vernikli
900519,IE26900519,295-165,M00019,OVAL KUTU 295-165 VERNIKLI 2 PARÇA,120.01.0023,Ünlüoğlu Çay A.Ş.,SIP26006431,RF900519,1,OP04,43,MONTAJ HATTI 13 · ÖZEL ŞEKİL,MNT,MONTAJ,12396,30,TAMAMLANDI,,2026-06-29,Kısmi üretim,01,Mamul,SK05,Oval Kutu,KA6,Bal-Reçel,295-165,Kalıp 295-165,B2,Vernikli
900520,IE26900520,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0012,Ferahlı Ambalaj Gıda San. A.Ş.,SIP26005823,RF900520,1,OP01,28,KESİM HATTI 06 · KÖŞE KESME,KSM,KESIM,8167,30,TAMAMLANDI,Acil iş,2026-04-23,Fazla üretim,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900521,IE26900521,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0012,Ferahlı Ambalaj Gıda San. A.Ş.,SIP26005823,RF900521,1,OP02,5,PRES 05 · 100 TON EKSANTRİK,PRS,PRES,8476,30,TAMAMLANDI,Acil iş,2026-04-04,Kısmi üretim,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900522,IE26900522,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0012,Ferahlı Ambalaj Gıda San. A.Ş.,SIP26005823,RF900522,1,OP03,38,MONTAJ HATTI 06 · YARI OTOMATİK,MNT,MONTAJ,8346,30,TAMAMLANDI,,2026-04-25,Fazla üretim,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900523,IE25900523,120-105,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,120.01.0001,Nordwind Oy,SIP25004756,RF900523,1,OP01,26,KESİM HATTI 03 · DİLİMLEME,KSM,KESIM,973,30,TAMAMLANDI,,2025-11-11,,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,120-105,Kalıp 120-105,B3,Ham Teneke
900524,IE25900524,120-105,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,120.01.0001,Nordwind Oy,SIP25004756,RF900524,1,OP02,46,DİJİTAL BASKI 02,DJT,DIJITAL,987,30,TAMAMLANDI,,2025-10-29,,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,120-105,Kalıp 120-105,B3,Ham Teneke
900525,IE25900525,120-105,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,120.01.0001,Nordwind Oy,SIP25004756,RF900525,1,OP03,17,PRES 17 · 16 TON KULP,PRS,PRES,997,30,TAMAMLANDI,Numune onayı bekleniyor,2025-11-03,Kısmi üretim,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,120-105,Kalıp 120-105,B3,Ham Teneke
900526,IE25900526,120-105,M00003,YUVARLAK KUTU 120-105 HAM TENEKE 2 PARÇA,120.01.0001,Nordwind Oy,SIP25004756,RF900526,1,OP04,38,MONTAJ HATTI 06 · YARI OTOMATİK,MNT,MONTAJ,985,30,TAMAMLANDI,Acil iş,2025-11-19,,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,120-105,Kalıp 120-105,B3,Ham Teneke
900527,IE25900527,255-205,M00010,YUVARLAK KUTU 255-205 MAT LAK 3 PARÇA,120.01.0032,Jalezade Bisküvi Ltd. Şti.,STKB25000336,RF900527,1,OP01,29,KESİM HATTI 07 · KÖŞE KESME,KSM,KESIM,1823,30,TAMAMLANDI,Müşteri baskı revizyonu,2025-11-13,,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,255-205,Kalıp 255-205,B4,Mat Lak
900528,IE25900528,255-205,M00010,YUVARLAK KUTU 255-205 MAT LAK 3 PARÇA,120.01.0032,Jalezade Bisküvi Ltd. Şti.,STKB25000336,RF900528,1,OP02,31,OFSET BASKI 02 · 4 RENK,MTB,MATBAA,1805,30,TAMAMLANDI,,2025-10-31,Fazla üretim,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,255-205,Kalıp 255-205,B4,Mat Lak
900529,IE25900529,255-205,M00010,YUVARLAK KUTU 255-205 MAT LAK 3 PARÇA,120.01.0032,Jalezade Bisküvi Ltd. Şti.,STKB25000336,RF900529,1,OP03,33,MONTAJ HATTI 01 · OTOMATİK,MNT,MONTAJ,1808,30,TAMAMLANDI,,2025-10-29,Kısmi üretim,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,255-205,Kalıp 255-205,B4,Mat Lak
900530,IE25900530,325-125,M00106,TEPSI 325-125 HAM TENEKE 2 PARÇA,120.01.0055,Meridian Foods GmbH,SIP25004412,RF900530,1,OP01,27,KESİM HATTI 04 · DİLİMLEME,KSM,KESIM,2470,30,TAMAMLANDI,,2025-08-06,Fazla üretim,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B3,Ham Teneke
900531,IE25900531,325-125,M00106,TEPSI 325-125 HAM TENEKE 2 PARÇA,120.01.0055,Meridian Foods GmbH,SIP25004412,RF900531,1,OP02,30,OFSET BASKI 01 · 4 RENK,MTB,MATBAA,2525,30,TAMAMLANDI,Numune onayı bekleniyor,2025-08-14,,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B3,Ham Teneke
900532,IE25900532,325-125,M00106,TEPSI 325-125 HAM TENEKE 2 PARÇA,120.01.0055,Meridian Foods GmbH,SIP25004412,RF900532,1,OP03,5,PRES 05 · 100 TON EKSANTRİK,PRS,PRES,2475,30,TAMAMLANDI,,2025-07-30,,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B3,Ham Teneke
900533,IE25900533,325-125,M00106,TEPSI 325-125 HAM TENEKE 2 PARÇA,120.01.0055,Meridian Foods GmbH,SIP25004412,RF900533,1,OP04,43,MONTAJ HATTI 13 · ÖZEL ŞEKİL,MNT,MONTAJ,2428,30,TAMAMLANDI,,2025-07-25,Fazla üretim,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B3,Ham Teneke
900534,IE25900534,120-105,M00011,YUVARLAK KUTU 120-105 HAM TENEKE 3 PARÇA,120.01.0040,Pınarbaşlı Kahve A.Ş.,SIP25005213,RF900534,2,OP01,26,KESİM HATTI 03 · DİLİMLEME,KSM,KESIM,12387,30,TAMAMLANDI,,2025-12-25,Fazla üretim,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,120-105,Kalıp 120-105,B3,Ham Teneke
900535,IE25900535,120-105,M00011,YUVARLAK KUTU 120-105 HAM TENEKE 3 PARÇA,120.01.0040,Pınarbaşlı Kahve A.Ş.,SIP25005213,RF900535,2,OP02,5,PRES 05 · 100 TON EKSANTRİK,PRS,PRES,12534,30,TAMAMLANDI,,2025-12-26,,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,120-105,Kalıp 120-105,B3,Ham Teneke
900536,IE25900536,120-105,M00011,YUVARLAK KUTU 120-105 HAM TENEKE 3 PARÇA,120.01.0040,Pınarbaşlı Kahve A.Ş.,SIP25005213,RF900536,2,OP03,38,MONTAJ HATTI 06 · YARI OTOMATİK,MNT,MONTAJ,12358,30,TAMAMLANDI,,2025-12-12,Kısmi üretim,01,Mamul,SK01,Yuvarlak Kutu,KA3,Kozmetik,120-105,Kalıp 120-105,B3,Ham Teneke
900537,IE25900537,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0007,Terravita A/S,SIP25004709,RF900537,2,OP01,29,KESİM HATTI 07 · KÖŞE KESME,KSM,KESIM,12471,30,TAMAMLANDI,Müşteri baskı revizyonu,2025-10-27,Kısmi üretim,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900538,IE25900538,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0007,Terravita A/S,SIP25004709,RF900538,2,OP02,12,PRES 12 · 25 TON KAPAK,PRS,PRES,12045,30,TAMAMLANDI,Acil iş,2025-10-14,Fazla üretim,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900539,IE25900539,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0007,Terravita A/S,SIP25004709,RF900539,2,OP03,36,MONTAJ HATTI 04 · YARI OTOMATİK,MNT,MONTAJ,12104,30,TAMAMLANDI,,2025-11-01,Fazla üretim,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900540,IE26900540,325-125,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,120.01.0010,Narlıcan Makine Gıda San. A.Ş.,STK25000811,RF900540,2,OP01,29,KESİM HATTI 07 · KÖŞE KESME,KSM,KESIM,3061,30,TAMAMLANDI,,2026-02-16,Fazla üretim,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B4,Mat Lak
900541,IE26900541,325-125,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,120.01.0010,Narlıcan Makine Gıda San. A.Ş.,STK25000811,RF900541,2,OP02,45,DİJİTAL BASKI 01,DJT,DIJITAL,3109,30,TAMAMLANDI,,2026-02-06,Fazla üretim,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B4,Mat Lak
900542,IE26900542,325-125,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,120.01.0010,Narlıcan Makine Gıda San. A.Ş.,STK25000811,RF900542,2,OP03,5,PRES 05 · 100 TON EKSANTRİK,PRS,PRES,3007,30,TAMAMLANDI,Acil iş,2026-02-06,Kısmi üretim,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B4,Mat Lak
900543,IE26900543,325-125,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,120.01.0010,Narlıcan Makine Gıda San. A.Ş.,STK25000811,RF900543,2,OP04,48,MANUEL SARIM 02,MNT,MONTAJ,3124,30,TAMAMLANDI,,2026-02-10,,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B4,Mat Lak
900544,IE26900544,175-205,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,120.01.0044,Hisarlı Zeytin A.Ş.,SIP26005826,RF900544,4,OP01,25,KESİM HATTI 02 · GİYOTİN,KSM,KESIM,2543,30,TAMAMLANDI,,2026-04-10,Kısmi üretim,01,Mamul,SK08,Sekilli Kutu,KA4,Hediyelik,175-205,Kalıp 175-205,B3,Ham Teneke
900545,IE26900545,175-205,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,120.01.0044,Hisarlı Zeytin A.Ş.,SIP26005826,RF900545,4,OP02,31,OFSET BASKI 02 · 4 RENK,MTB,MATBAA,2411,30,TAMAMLANDI,Acil iş,2026-03-16,Fazla üretim,01,Mamul,SK08,Sekilli Kutu,KA4,Hediyelik,175-205,Kalıp 175-205,B3,Ham Teneke
900546,IE26900546,175-205,M00006,SEKILLI KUTU 175-205 HAM TENEKE 3 PARÇA,120.01.0044,Hisarlı Zeytin A.Ş.,SIP26005826,RF900546,4,OP03,36,MONTAJ HATTI 04 · YARI OTOMATİK,MNT,MONTAJ,2426,30,TAMAMLANDI,Acil iş,2026-03-28,Fazla üretim,01,Mamul,SK08,Sekilli Kutu,KA4,Hediyelik,175-205,Kalıp 175-205,B3,Ham Teneke
900547,IE26900547,325-125,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,120.01.0065,Orhanlı Reçel Ltd. Şti.,SIP26006250,RF900547,1,OP01,24,KESİM HATTI 01 · GİYOTİN,KSM,KESIM,623,30,TAMAMLANDI,Numune onayı bekleniyor,2026-05-12,,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B4,Mat Lak
900548,IE26900548,325-125,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,120.01.0065,Orhanlı Reçel Ltd. Şti.,SIP26006250,RF900548,1,OP02,31,OFSET BASKI 02 · 4 RENK,MTB,MATBAA,635,30,TAMAMLANDI,Numune onayı bekleniyor,2026-05-08,Fazla üretim,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B4,Mat Lak
900549,IE26900549,325-125,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,120.01.0065,Orhanlı Reçel Ltd. Şti.,SIP26006250,RF900549,1,OP03,35,MONTAJ HATTI 03 · OTOMATİK,MNT,MONTAJ,623,30,TAMAMLANDI,,2026-05-15,Fazla üretim,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B4,Mat Lak
900550,IE26900550,158-175,M00142,YUVARLAK KUTU 158-175 LITOGRAFI 2 PARÇA,120.01.0006,Ünlüoğlu Reçel Gıda San. A.Ş.,STKB26000417,RF900550,3,OP01,26,KESİM HATTI 03 · DİLİMLEME,KSM,KESIM,5076,30,TAMAMLANDI,,2026-04-23,Fazla üretim,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,158-175,Kalıp 158-175,B1,Litografi
900551,IE26900551,158-175,M00142,YUVARLAK KUTU 158-175 LITOGRAFI 2 PARÇA,120.01.0006,Ünlüoğlu Reçel Gıda San. A.Ş.,STKB26000417,RF900551,3,OP02,30,OFSET BASKI 01 · 4 RENK,MTB,MATBAA,4847,30,TAMAMLANDI,,2026-05-16,,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,158-175,Kalıp 158-175,B1,Litografi
900552,IE26900552,158-175,M00142,YUVARLAK KUTU 158-175 LITOGRAFI 2 PARÇA,120.01.0006,Ünlüoğlu Reçel Gıda San. A.Ş.,STKB26000417,RF900552,3,OP03,17,PRES 17 · 16 TON KULP,PRS,PRES,4844,30,TAMAMLANDI,Numune onayı bekleniyor,2026-04-20,Fazla üretim,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,158-175,Kalıp 158-175,B1,Litografi
900553,IE26900553,158-175,M00142,YUVARLAK KUTU 158-175 LITOGRAFI 2 PARÇA,120.01.0006,Ünlüoğlu Reçel Gıda San. A.Ş.,STKB26000417,RF900553,3,OP04,40,MONTAJ HATTI 09 · SIVAMA,MNT,MONTAJ,5031,30,TAMAMLANDI,Müşteri baskı revizyonu,2026-05-11,Fazla üretim,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,158-175,Kalıp 158-175,B1,Litografi
900554,IE25900554,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0071,Denizcan Bisküvi San. ve Tic. A.Ş.,SIP25005169,RF900554,4,OP01,28,KESİM HATTI 06 · KÖŞE KESME,KSM,KESIM,5155,30,TAMAMLANDI,Acil iş,2025-12-12,Fazla üretim,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900555,IE25900555,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0071,Denizcan Bisküvi San. ve Tic. A.Ş.,SIP25005169,RF900555,4,OP02,23,PVC KAPLAMA HATTI 01,PRS,PRES,5211,30,TAMAMLANDI,Müşteri baskı revizyonu,2025-12-03,Kısmi üretim,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900556,IE25900556,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0071,Denizcan Bisküvi San. ve Tic. A.Ş.,SIP25005169,RF900556,4,OP03,37,MONTAJ HATTI 05 · YARI OTOMATİK,MNT,MONTAJ,5152,30,TAMAMLANDI,,2025-12-28,,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900557,IE26900557,145-095,M00109,DIKDORTGEN KUTU 145-095 HAM TENEKE 3 PARÇA,120.01.0005,Marmarist Kahve A.Ş.,SIP26006585,RF900557,1,OP01,24,KESİM HATTI 01 · GİYOTİN,KSM,KESIM,8063,30,TAMAMLANDI,,2026-07-12,Fazla üretim,01,Mamul,SK04,Dikdortgen Kutu,KA3,Kozmetik,145-095,Kalıp 145-095,B3,Ham Teneke
900558,IE26900558,145-095,M00109,DIKDORTGEN KUTU 145-095 HAM TENEKE 3 PARÇA,120.01.0005,Marmarist Kahve A.Ş.,SIP26006585,RF900558,1,OP02,31,OFSET BASKI 02 · 4 RENK,MTB,MATBAA,8314,30,TAMAMLANDI,,2026-08-13,,01,Mamul,SK04,Dikdortgen Kutu,KA3,Kozmetik,145-095,Kalıp 145-095,B3,Ham Teneke
900559,IE26900559,145-095,M00109,DIKDORTGEN KUTU 145-095 HAM TENEKE 3 PARÇA,120.01.0005,Marmarist Kahve A.Ş.,SIP26006585,RF900559,1,OP03,36,MONTAJ HATTI 04 · YARI OTOMATİK,MNT,MONTAJ,8297,30,TAMAMLANDI,Acil iş,2026-07-30,,01,Mamul,SK04,Dikdortgen Kutu,KA3,Kozmetik,145-095,Kalıp 145-095,B3,Ham Teneke
900560,IE25900560,325-125,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,120.01.0001,Nordwind Oy,STK25000685,RF900560,1,OP01,24,KESİM HATTI 01 · GİYOTİN,KSM,KESIM,3075,30,TAMAMLANDI,Müşteri baskı revizyonu,2025-11-06,Kısmi üretim,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B4,Mat Lak
900561,IE25900561,325-125,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,120.01.0001,Nordwind Oy,STK25000685,RF900561,1,OP02,30,OFSET BASKI 01 · 4 RENK,MTB,MATBAA,3003,30,TAMAMLANDI,Numune onayı bekleniyor,2025-11-08,Fazla üretim,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B4,Mat Lak
900562,IE25900562,325-125,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,120.01.0001,Nordwind Oy,STK25000685,RF900562,1,OP03,19,PRES 19 · 20 TON HALKA,PRS,PRES,3162,30,TAMAMLANDI,,2025-10-23,,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B4,Mat Lak
900563,IE25900563,325-125,M00002,TEPSI 325-125 MAT LAK 3 PARÇA,120.01.0001,Nordwind Oy,STK25000685,RF900563,1,OP04,37,MONTAJ HATTI 05 · YARI OTOMATİK,MNT,MONTAJ,3137,30,TAMAMLANDI,,2025-10-06,,01,Mamul,SK11,Tepsi,KA5,Endüstriyel,325-125,Kalıp 325-125,B4,Mat Lak
900564,IE25900564,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0043,Bahçelik Salça A.Ş.,SIP25005209,RF900564,2,OP01,28,KESİM HATTI 06 · KÖŞE KESME,KSM,KESIM,5267,30,TAMAMLANDI,Numune onayı bekleniyor,2026-01-17,,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900565,IE25900565,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0043,Bahçelik Salça A.Ş.,SIP25005209,RF900565,2,OP02,46,DİJİTAL BASKI 02,DJT,DIJITAL,5219,30,TAMAMLANDI,Acil iş,2026-01-16,Fazla üretim,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900566,IE25900566,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0043,Bahçelik Salça A.Ş.,SIP25005209,RF900566,2,OP03,19,PRES 19 · 20 TON HALKA,PRS,PRES,5211,30,TAMAMLANDI,Numune onayı bekleniyor,2026-01-18,,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900567,IE25900567,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0043,Bahçelik Salça A.Ş.,SIP25005209,RF900567,2,OP04,36,MONTAJ HATTI 04 · YARI OTOMATİK,MNT,MONTAJ,5195,30,TAMAMLANDI,Acil iş,2026-01-26,,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900572,IE25900572,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0012,Ferahlı Ambalaj Gıda San. A.Ş.,STKB25000319,RF900572,3,OP01,29,KESİM HATTI 07 · KÖŞE KESME,KSM,KESIM,2020,30,TAMAMLANDI,Müşteri baskı revizyonu,2025-10-01,,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900573,IE25900573,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0012,Ferahlı Ambalaj Gıda San. A.Ş.,STKB25000319,RF900573,3,OP02,30,OFSET BASKI 01 · 4 RENK,MTB,MATBAA,2055,30,TAMAMLANDI,,2025-10-16,,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900574,IE25900574,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0012,Ferahlı Ambalaj Gıda San. A.Ş.,STKB25000319,RF900574,3,OP03,20,PRES 20 · 45 TON ÇOK KADEMELİ,PRS,PRES,2091,30,TAMAMLANDI,,2025-09-23,Kısmi üretim,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900575,IE25900575,090-065,M00001,KAPAK 090-065 HAM TENEKE 2 PARÇA,120.01.0012,Ferahlı Ambalaj Gıda San. A.Ş.,STKB25000319,RF900575,3,OP04,41,MONTAJ HATTI 10 · KAPAK,MNT,MONTAJ,2046,30,TAMAMLANDI,,2025-09-25,Fazla üretim,01,Mamul,SK12,Kapak,KA2,Boya-Kimya,090-065,Kalıp 090-065,B3,Ham Teneke
900576,IE26900576,245-175,M00009,YUVARLAK KUTU 245-175 VERNIKLI 3 PARÇA,120.01.0002,Zümrütlü Kozmetik Gıda San. A.Ş.,SIP26006191,RF900576,1,OP01,25,KESİM HATTI 02 · GİYOTİN,KSM,KESIM,74,30,TAMAMLANDI,Acil iş,2026-05-23,Kısmi üretim,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,245-175,Kalıp 245-175,B2,Vernikli
900577,IE26900577,245-175,M00009,YUVARLAK KUTU 245-175 VERNIKLI 3 PARÇA,120.01.0002,Zümrütlü Kozmetik Gıda San. A.Ş.,SIP26006191,RF900577,1,OP02,31,OFSET BASKI 02 · 4 RENK,MTB,MATBAA,76,30,TAMAMLANDI,Numune onayı bekleniyor,2026-06-05,,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,245-175,Kalıp 245-175,B2,Vernikli
900578,IE26900578,245-175,M00009,YUVARLAK KUTU 245-175 VERNIKLI 3 PARÇA,120.01.0002,Zümrütlü Kozmetik Gıda San. A.Ş.,SIP26006191,RF900578,1,OP03,47,MANUEL SARIM 01,MNT,MONTAJ,73,30,TAMAMLANDI,Acil iş,2026-05-30,,01,Mamul,SK01,Yuvarlak Kutu,KA1,Gıda,245-175,Kalıp 245-175,B2,Vernikli
900579,IE26900579,210-255,M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,120.01.0045,Mercanlı Reçel Koll. Şti.,SIP25005485,RF900579,1,OP01,27,KESİM HATTI 04 · DİLİMLEME,KSM,KESIM,293,30,TAMAMLANDI,Numune onayı bekleniyor,2026-02-06,Fazla üretim,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,210-255,Kalıp 210-255,B4,Mat Lak
900580,IE26900580,210-255,M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,120.01.0045,Mercanlı Reçel Koll. Şti.,SIP25005485,RF900580,1,OP02,46,DİJİTAL BASKI 02,DJT,DIJITAL,297,30,TAMAMLANDI,Numune onayı bekleniyor,2026-01-31,Fazla üretim,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,210-255,Kalıp 210-255,B4,Mat Lak
900581,IE26900581,210-255,M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,120.01.0045,Mercanlı Reçel Koll. Şti.,SIP25005485,RF900581,1,OP03,18,PRES 18 · 20 TON HALKA,PRS,PRES,288,30,TAMAMLANDI,,2026-01-25,Kısmi üretim,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,210-255,Kalıp 210-255,B4,Mat Lak
900582,IE26900582,210-255,M00004,YUVARLAK KUTU 210-255 MAT LAK 3 PARÇA,120.01.0045,Mercanlı Reçel Koll. Şti.,SIP25005485,RF900582,1,OP04,44,MONTAJ HATTI 14 · ÖZEL ŞEKİL,MNT,MONTAJ,291,30,TAMAMLANDI,Müşteri baskı revizyonu,2026-01-21,,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,210-255,Kalıp 210-255,B4,Mat Lak
900583,IE26900583,078-095,M00023,YUVARLAK KUTU 078-095 LITOGRAFI 2 PARÇA,120.01.0002,Zümrütlü Kozmetik Gıda San. A.Ş.,SIP26006442,RF900583,3,OP01,28,KESİM HATTI 06 · KÖŞE KESME,KSM,KESIM,8123,30,TAMAMLANDI,,2026-07-27,Fazla üretim,01,Mamul,SK01,Yuvarlak Kutu,KA6,Bal-Reçel,078-095,Kalıp 078-095,B1,Litografi
